set_id,set_name,card_count,sample_cards
1085,2024 skybox metal universe avengers Gold FX,200,"Wasp | Graviton | Spider-Man | Wasp | Klaw"
1086,2024 skybox metal universe avengers Gold Precious Metal Gems,200,"Wasp | Graviton | Spider-Man | Wasp | Klaw"
1070,2024 skybox metal universe avengers a force rave Gold Rave,50,"She-Hulk | Mantis | Mighty Thor | Crystal | Spectrum"
1096,2024 skybox metal universe avengers palladium Gold,50,"Captain America | Quicksilver | Vision | Loki | Red Skull"
1100,2024 skybox metal universe avengers planet metal iron armor Gold,20,"Iron Man | Iron Man | Stilt-Man | Iron Man | Rescue"
1109,2024 skybox metal universe avengers retro Gold Precious Metal Gems,50,"Scarlet Witch | Ant-Man | Hercules | Wonder Man | Iron Fist"
1115,2024 upper deck x men '97 sdcc Gold Foilboard,15,"Team Lineup | Bishop | Jubilee | Morph | Roberto Da Costa"
2200,Marvel 2024 Upper Deck Studios Signature Sensations,1,"Carey Jones as Ted #SS-CJ"
1862,marvel 2024 skybox masterpieces '92 platinum Golden Treasures,100,"Blob | Adam Warlock | Jubilee | Darkhawk | Daredevil"
1863,marvel 2024 skybox masterpieces '92 platinum Golden Treasures Variant,100,"Blob | Adam Warlock | Jubilee | Darkhawk | Daredevil"
1874,marvel 2024 skybox masterpieces '92 platinum Precious Metal Gems Gold,100,"Blob | Adam Warlock | Jubilee | Darkhawk | Daredevil"
1883,marvel 2024 skybox masterpieces '92 platinum Seismic Gold,100,"Blob | Adam Warlock | Jubilee | Darkhawk | Daredevil"
1884,marvel 2024 skybox masterpieces '92 platinum Seismic Gold Variant,100,"Blob | Adam Warlock | Jubilee | Darkhawk | Daredevil"
1893,marvel 2024 skybox masterpieces nahuel grego Gold Foil,90,"Arcade | Deathlok | Gladiator | Goliath | Hawkeye"
1894,marvel 2024 skybox masterpieces nahuel grego Gold Signature Series,90,"Arcade | Deathlok | Gladiator | Goliath | Hawkeye"
1895,marvel 2024 skybox masterpieces nahuel grego Gold Spectrum Autograph,90,"Arcade | Deathlok | Gladiator | Goliath | Hawkeye"
1917,marvel 2024 skybox masterpieces xl Gold Foil,86,"Ultimate Spider-Man | Multiple Man | Medusa | Grogg | Legion"
1918,marvel 2024 skybox masterpieces xl Gold Foil What If Variant,86,"Ultimate Spider-Man | Multiple Man | Medusa | Grogg | Legion"
1935,marvel 2024 topps chrome 90s Gold Refractor,10,"Iron Man 2 | Elektra 14 | Morbius The Living Vampire 1 | Ghost Rider 1 | Namor The Sub-mariner 15"
1993,marvel 2024 topps chrome Gold Refractor,150,"Spider-man | The Thing | War Machine | Green Goblin | Apocalypse"
1994,marvel 2024 topps chrome Gold Sapphire,150,"Spider-man | The Thing | War Machine | Green Goblin | Apocalypse"
1995,marvel 2024 topps chrome Gold Wave,150,"Spider-man | The Thing | War Machine | Green Goblin | Apocalypse"
1942,marvel 2024 topps chrome authentic marvel comic book artist autograph Gold Sapphire,8,"Adam Kubert | Andy Kubert | Frank Miller | Jason Aaron | Joshua Cassara"
1943,marvel 2024 topps chrome authentic marvel comic book artist autograph Gold Wave,8,"ADAM KUBERT | ANDY KUBERT | FRANK MILLER | JASON AARON | JOSHUA CASSARA"
1965,marvel 2024 topps chrome character autograph Gold Wave,8,"Daredevil | Wolverine | Iron Man | Scarlet Witch | Thanos"
1977,marvel 2024 topps chrome daredevil 60th anniversary Gold Refractor,10,"Daredevil | Battle In Wakanda Rescues Mom | Kingpin | Bullseye | Elektra"
1983,marvel 2024 topps chrome giant size 50th anniversary Gold Refractor,10,"Giant-size Super-stars 1 | Giant-size Avengers 4 | Giant-size Master Of Kung Fu 2 | Giant-size Avengers 1 | Giant-size X-men 1"
1989,marvel 2024 topps chrome giant size chrome 50th anniversary Gold Refractor,10,"Giant-size Super-stars 1 | Giant-size Avengers 4 | Giant-size Master Of Kung Fu 2 | Giant-size Avengers 1 | Giant-size X-Men 1"
2002,marvel 2024 topps chrome icons Gold Refractor,10,"Spider-man | Ant-man | Black Panther | Daredevil | Scarlet Witch"
2034,marvel 2024 topps chrome spider man gold,10,"Amazing Spider-man Full Circle 1 | The Amazing Spider-man 29 | The Spectacular Spider-man 2 | Savage Spider-man 1 | The Amazing Spider-man 1"
2035,marvel 2024 topps chrome spider man gold Black Wave,10,"Amazing Spider-man Full Circle 1 | The Amazing Spider-man 29 | The Spectacular Spider-man 2 | Savage Spider-man 1 | The Amazing Spider-man 1"
2036,marvel 2024 topps chrome spider man gold Gold Refractor,10,"Amazing Spider-man Full Circle 1 | The Amazing Spider-man 29 | The Spectacular Spider-man 2 | Savage Spider-man 1 | The Amazing Spider-man 1"
2037,marvel 2024 topps chrome spider man gold Orange Refractor,10,"Amazing Spider-man Full Circle 1 | The Amazing Spider-man 29 | The Spectacular Spider-man 2 | Savage Spider-man 1 | The Amazing Spider-man 1"
2038,marvel 2024 topps chrome spider man gold Red Refractor,10,"Amazing Spider-man Full Circle 1 | The Amazing Spider-man 29 | The Spectacular Spider-man 2 | Savage Spider-man 1 | The Amazing Spider-man 1"
2039,marvel 2024 topps chrome spider man gold Superfractor,10,"Amazing Spider-man Full Circle 1 | The Amazing Spider-man 29 | The Spectacular Spider-man 2 | Savage Spider-man 1 | The Amazing Spider-man 1"
2051,marvel 2024 upper deck avengers Gold,75,"Hank Pym | The Wasp | Vision | Hawkeye | Quicksilver"
2067,marvel 2024 upper deck spider man Gold,75,"Peter Parker | Arachne | Ned Leeds | Mary Jane Watson | Eddie Brock"
2060,marvel 2024 upper deck spider man battle time Gold,25,"Spider-Man / Doctor Octopus | Spider-Man / Carnage | Spider-Man / Scorpion | Spider-Man / Electro | Spider-Man / Mysterio"
2103,marvel 2024 upper deck studios Outburst Gold,100,"Elizabeth Olsen as Wanda Maximoff | Paul Bettany as Vision | Chris Pratt as Star-Lord | Evan Peters as Ralph Bohner | Elizabeth Olsen as Wanda Maximoff"
2096,marvel 2024 upper deck studios hologrfx Gold,30,"Oscar Isaac as Moon Knight | Anthony Mackie as Captain America | Sebastian Stan as Bucky Barnes | Tom Hiddleston as Loki | Owen Wilson as Mobius"
2100,marvel 2024 upper deck studios marquees Gold,13,"Loki | Loki | Wandavision | Moon Knight | Hawkeye"
2111,marvel 2024 upper deck studios ud portraits Gold,30,"Tatiana Maslany as She-Hulk | Oscar Isaac as Mr. Knight | Laura Donnelly as Elsa Bloodstone | Iman Vellani as Ms. Marvel | Florence Pugh as Yelena Belova"
2116,marvel 2024 upper deck women of marvel Gold Foil Lt FX,75,"She-Hulk | Ms. Marvel | Rogue | Black Cat | Black Widow"
