Main Set,Subset,Card Number,Card name,Is_insert
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,1,"September, 1962",FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,2,6 Years Old,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,3,The Exhibition,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,4,Human Spider,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,5,Reflexes,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,6,Wall Climber,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,7,Spider-Sense,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,8,Web-Shooters,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,9,Web Fluid,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,10,Equipment,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,11,Wrestling,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,12,Irony,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,13,A Hero Is Born,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,14,Amazing Spider-Man,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,15,The Chameleon,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,16,J. J. Jameson,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,17,Bad Press,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,18,John Jameson,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,19,Fantastic Four,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,20,Shutter-Bug,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,21,Duel to the Death,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,22,The Vulture,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,23,The Tinkerer,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,24,Doctor Octopus,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,25,First Defeat,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,26,Sandman,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,27,Doctor Doom,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,28,The Lizard,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,29,Four Eyes,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,30,Electro,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,31,Betty Brant,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,32,The Enforcers,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,33,Mysterio,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,34,Green Goblin,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,35,Break-Up,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,36,Big Shoes,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,37,The Hulk,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,38,Kraven,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,39,The Ringmaster,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,40,Daredevil,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,41,Sinister Six,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,42,The Scorpion,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,43,Spider-Slayer,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,44,Molten Man,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,45,The Rhino,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,46,The Test,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,47,The X-Men,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,48,The Shocker,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,49,Captain Stacy,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,50,The Prowler,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,51,Drug Abuse,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,52,Morbius,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,53,Man-Wolf,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,54,Gwen Stacy,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,55,Gwen's Death,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,56,Green Goblin's Death,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,57,The Jackal,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,58,The Punisher,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,59,Vigilante,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,60,Seeing Green,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,61,Black Cat,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,62,The Burglar,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,63,Hydro-Man,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,64,Hobgoblin,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,65,Kingpin,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,66,Secret Wars,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,67,The Suit,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,68,Bad Luck,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,69,The Rose,FALSE
