Main Set,Sub Set,Card Number,Card Name,Is Insert
1996 Ultra X-Men Wolverine,Base,1,Weapon X   ,FALSE
1996 Ultra X-Men Wolverine,Base,2,Sabretooth    ,FALSE
1996 Ultra X-Men Wolverine,Base,3,Maverick    ,FALSE
1996 Ultra X-Men Wolverine,Base,4,Kestrel    ,FALSE
1996 Ultra X-Men Wolverine,Base,5,Wolverine vs. Shiva  ,FALSE
1996 Ultra X-Men Wolverine,Base,6,Kane    ,FALSE
1996 Ultra X-Men Wolverine,Base,7,Deadpool    ,FALSE
1996 Ultra X-Men Wolverine,Base,8,Silver Fox   ,FALSE
1996 Ultra X-Men Wolverine,Base,9,Logan & Victor Creed ,FALSE
1996 Ultra X-Men Wolverine,Base,10,Wolverine    ,FALSE
1996 Ultra X-Men Wolverine,Base,11,Snowbird    ,FALSE
1996 Ultra X-Men Wolverine,Base,12,Shaman    ,FALSE
1996 Ultra X-Men Wolverine,Base,13,Sasquatch    ,FALSE
1996 Ultra X-Men Wolverine,Base,14,Wolverine vs. Hulk  ,FALSE
1996 Ultra X-Men Wolverine,Base,15,Northstar    ,FALSE
1996 Ultra X-Men Wolverine,Base,16,Aurora    ,FALSE
1996 Ultra X-Men Wolverine,Base,17,Puck    ,FALSE
1996 Ultra X-Men Wolverine,Base,18,Wolverine & Weapon Alpha ,FALSE
1996 Ultra X-Men Wolverine,Base,19,Wolverine    ,FALSE
1996 Ultra X-Men Wolverine,Base,20,Banshee    ,FALSE
1996 Ultra X-Men Wolverine,Base,21,Sunfire    ,FALSE
1996 Ultra X-Men Wolverine,Base,22,Cyclops    ,FALSE
1996 Ultra X-Men Wolverine,Base,23,Wolverine vs. Krakoa  ,FALSE
1996 Ultra X-Men Wolverine,Base,24,Storm    ,FALSE
1996 Ultra X-Men Wolverine,Base,25,Nightcrawler    ,FALSE
1996 Ultra X-Men Wolverine,Base,26,Thunderbird    ,FALSE
1996 Ultra X-Men Wolverine,Base,27,Wolverine & Colossus  ,FALSE
1996 Ultra X-Men Wolverine,Base,28,Wolverine    ,FALSE
1996 Ultra X-Men Wolverine,Base,29,Mariko Yashida   ,FALSE
1996 Ultra X-Men Wolverine,Base,30,Silver Samurai   ,FALSE
1996 Ultra X-Men Wolverine,Base,31,Ogun    ,FALSE
1996 Ultra X-Men Wolverine,Base,32,Wolverine vs. Lord Shingen ,FALSE
1996 Ultra X-Men Wolverine,Base,33,Lady Deathstrike   ,FALSE
1996 Ultra X-Men Wolverine,Base,34,Yukio    ,FALSE
1996 Ultra X-Men Wolverine,Base,35,Madame Hydra   ,FALSE
1996 Ultra X-Men Wolverine,Base,36,Wolverine & Shadowcat  ,FALSE
1996 Ultra X-Men Wolverine,Base,37,Wolverine    ,FALSE
1996 Ultra X-Men Wolverine,Base,38,Venom    ,FALSE
1996 Ultra X-Men Wolverine,Base,39,Captain America   ,FALSE
1996 Ultra X-Men Wolverine,Base,40,Nick Fury   ,FALSE
1996 Ultra X-Men Wolverine,Base,41,Wolverine vs. Thing  ,FALSE
1996 Ultra X-Men Wolverine,Base,42,Ghost Rider   ,FALSE
1996 Ultra X-Men Wolverine,Base,43,Punisher    ,FALSE
1996 Ultra X-Men Wolverine,Base,44,Black Widow   ,FALSE
1996 Ultra X-Men Wolverine,Base,45,Wolverine & Spider-Man  ,FALSE
1996 Ultra X-Men Wolverine,Base,46,Wolverine    ,FALSE
1996 Ultra X-Men Wolverine,Base,47,Tyger Tiger   ,FALSE
1996 Ultra X-Men Wolverine,Base,48,Psylocke    ,FALSE
1996 Ultra X-Men Wolverine,Base,49,Razorfist    ,FALSE
1996 Ultra X-Men Wolverine,Base,50,Wolverine vs. Cyber  ,FALSE
1996 Ultra X-Men Wolverine,Base,51,Patch    ,FALSE
1996 Ultra X-Men Wolverine,Base,52,Geist    ,FALSE
1996 Ultra X-Men Wolverine,Base,53,Roughouse    ,FALSE
1996 Ultra X-Men Wolverine,Base,54,Wolverine & Hulk  ,FALSE
1996 Ultra X-Men Wolverine,Base,55,Li’l Wolvie   ,FALSE
1996 Ultra X-Men Wolverine,Base,56,Mojo    ,FALSE
1996 Ultra X-Men Wolverine,Base,57,Dazzler    ,FALSE
1996 Ultra X-Men Wolverine,Base,58,Mystique    ,FALSE
1996 Ultra X-Men Wolverine,Base,59,Wolverine vs. Spiral  ,FALSE
1996 Ultra X-Men Wolverine,Base,60,Baby Colossus & Baby Nightcrawler,FALSE
1996 Ultra X-Men Wolverine,Base,61,Baby Storm & Baby Havok,FALSE
