Main set,Sub Set,Card Number,Card Name,Is Insert,Details
1996 Skybox Wizard Chromium,Series 4,1,Angela,FALSE,Greg Capullo
1996 Skybox Wizard Chromium,Series 4,2,Purgatori,FALSE,Steven Hughes
1996 Skybox Wizard Chromium,Series 4,3,Fairchild,FALSE,J. Scott Campbell
1996 Skybox Wizard Chromium,Series 4,4,Onslaught,FALSE,Joe St. Pierre
1996 Skybox Wizard Chromium,Series 4,5,Spawn / Al Simmons,FALSE,Tony Daniels
1996 Skybox Wizard Chromium,Series 4,6,Youngblood / X-Force,FALSE,Rob Liefeld
1996 Skybox Wizard Chromium,Series 4,7,Lady Death,FALSE,Steven Hughes
1996 Skybox Wizard Chromium,Series 4,8,Spider-Man,FALSE,Mike Wieringo
1996 Skybox Wizard Chromium,Series 4,9,Ash,FALSE,Joe Quesada
1996 Skybox Wizard Chromium,Series 4,10,Shi,FALSE,William Tucci
1996 Skybox Wizard Chromium,Series 4,11,Iron Man,FALSE,Ryan Benjamin
1996 Skybox Wizard Chromium,Series 4,12,Batman vs. Wildcat,FALSE,Art Thibert
1996 Skybox Wizard Chromium,Series 4,13,The Darkness,FALSE,Marc Silvestri
1996 Skybox Wizard Chromium,Series 4,14,Superman,FALSE,"Dan Jurgens, Brett Breeding"
1996 Skybox Wizard Chromium,Series 4,15,Witchblade,FALSE,Michael Turner
1996 Skybox Wizard Chromium,Series 4,16,Vampirella,FALSE,"Louis Small, Jr."
1996 Skybox Wizard Chromium,Series 4,17,Nightwing,FALSE,Scott McDaniel
1996 Skybox Wizard Chromium,Series 4,18,Darkchylde,FALSE,Randy Queen
1996 Skybox Wizard Chromium,Series 4,19,She-Hulk / Fairchild,FALSE,Jason Pearson
1996 Skybox Wizard Chromium,Series 4,20,Divine Right,FALSE,Jim Lee
