Main Set,Subset,Card Number,Card Name,Details,Is insert
2025 Topps Marvel The Collector,MCU PERFECTION,1,Mister Fantastic,The Fantastic Four: First Steps,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,2,Invisible Woman,The Fantastic Four: First Steps,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,3,Human Torch,The Fantastic Four: First Steps,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,4,The Thing,The Fantastic Four: First Steps,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,5,Yelena Belova,Thunderbolts*,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,6,Bucky Barnes,Thunderbolts*,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,7,John F. Walker,Thunderbolts*,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,8,Ghost,Thunderbolts*,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,9,Taskmaster,Thunderbolts*,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,10,Sentry,Thunderbolts*,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,11,Valentina Allegra de Fontaine,Thunderbolts*,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,12,Captain America,Captain America: Brave New World,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,13,Red Hulk,Captain America: Brave New World,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,14,Falcon,Captain America: Brave New World,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,15,Sidewinder,Captain America: Brave New World,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,16,The Leader,Captain America: Brave New World,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,17,Agatha Harkness,Agatha All Along,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,18,Rio Vidal,Agatha All Along,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,19,G'iah,Secret Invasion,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,20,Moon Knight,Moon Knight,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,21,She-Hulk,She-Hulk,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,22,Wilson Fisk,Daredevil: Born Again,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,23,Namor,Black Panther: Wakanda Forever,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,24,Ironheart,Black Panther: Wakanda Forever,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,25,Zuri,Black Panther,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,26,Erik Killmonger,Black Panther,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,27,Star-Lord,Guardians of the Galaxy,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,28,Rocket,Guardians of the Galaxy,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,29,Groot,Guardians of the Galaxy,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,30,Drax,Guardians of the Galaxy,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,31,Nebula,Guardians of the Galaxy,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,32,Yondu,Guardians of the Galaxy,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,33,The Collector,Guardians of the Galaxy,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,34,Ego,Guardians of the Galaxy Vol. 2,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,35,The High Evolutionary,Guardians of the Galaxy Vol.3,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,36,Thor,Thor: Love and Thunder,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,37,The Mighty Thor,Thor: Love and Thunder,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,38,Odin,Thor,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,39,Grandmaster,Thor: Ragnarok,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,40,Frigga,Thor,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,41,Korg,Thor: Love and Thunder,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,42,Loki,Marvel's The Avengers,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,43,Hela,Thor: Ragnarok,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,44,Sif,Thor,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,45,Valkyrie,Thor: Ragnarok,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,46,Captain Marvel,Captain Marvel,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,47,Talos,Captain Marvel,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,48,Yon-Rogg,Captain Marvel,TRUE
2025 Topps Marvel The Collector,MCU PERFECTION,49,Ms. Marvel,The Marvels,TRUE
