subset,name,cardNumber,isInsert,rarity,frontImageUrl,backImageUrl,description,price
"Base","The Fantastic Four Are Born!",1,false,,,,,
"Base","With Great Power…",2,false,,,,,
"Base","The Return of Captain America!",3,false,,,,,
"Base","X-Men: The Strangest Super Heroes of All!",4,false,,,,,
"Base","Hawkeye Strikes!",5,false,,,,,
"Base","Final Chapter",6,false,,,,,
"Base","The Coming of Galactus",7,false,,,,,
"Base","The Black Panther!",8,false,,,,,
"Base","Face It, Tiger…",9,false,,,,,
"Base","Agent of S.H.I.E.L.D.!",10,false,,,,,
"Base","The Kree-Skrull War",11,false,,,,,
"Base","The Night Gwen Stacy Died",12,false,,,,,
"Base","The Champions!",13,false,,,,,
"Base","And Now… The Wolverine!",14,false,,,,,
"Base","X-Men: Second Genesis",15,false,,,,,
"Base","The Eternals",16,false,,,,,
"Base","What if…?",17,false,,,,,
"Base","Iron Man: Demon in a Bottle",18,false,,,,,
"Base","Dark Phoenix Saga",19,false,,,,,
"Base","The Death of Captain Marvel",20,false,,,,,
"Base","The Death of Elektra",21,false,,,,,
"Base","The New Captain Marvel",22,false,,,,,
"Base","Night of The Hobgoblin",23,false,,,,,
"Base","Professor Xavier is a Jerk!",24,false,,,,,
"Base","The Worthy Beta Ray Bill",25,false,,,,,
"Base","The Spectacular Spider-Ham!",26,false,,,,,
"Base","The Black Costume",27,false,,,,,
"Base","Apocalypse Now!",28,false,,,,,
"Base","Gray Hulk",29,false,,,,,
"Base","The Wedding of Peter and MJ",30,false,,,,,
"Base","Kraven's Last Hunt",31,false,,,,,
"Base","Armor Wars",32,false,,,,,
"Base","Venom",33,false,,,,,
"Base","Inferno",34,false,,,,,
"Base","She-Hulk Breaks the Fourth Wall",35,false,,,,,
"Base","Enter… Deadpool!",36,false,,,,,
"Base","Infinity Gauntlet",37,false,,,,,
"Base","X-Men: Mutant Genesis 2.0",38,false,,,,,
"Base","War Machine",39,false,,,,,
"Base","Carnage: Savage Genesis!",40,false,,,,,
"Base","An Invisible Enemy",41,false,,,,,
"Base","The Clone Saga Begins",42,false,,,,,
"Base","Age of Apocalypse",43,false,,,,,
"Base","Onslaught",44,false,,,,,
"Base","Heroes Reborn",45,false,,,,,
"Base","Night of the Goblin",46,false,,,,,
"Base","Justice, Like Lightning…",47,false,,,,,
"Base","Heroes Return",48,false,,,,,
"Base","Guardian Devil",49,false,,,,,
"Base","Earth X",50,false,,,,,
"Base","The Sentry",51,false,,,,,
"Base","The Ultimate Universe",52,false,,,,,
"Base","E is for Extinction",53,false,,,,,
"Base","Wolverine: Origin",54,false,,,,,
"Base","Avengers Disassembled!",55,false,,,,,
"Base","New Avengers",56,false,,,,,
"Base","Runaways: Teenagers On The Run!",57,false,,,,,
"Base","X-23",58,false,,,,,
"Base","Wolverine: Public Enemy",59,false,,,,,
"Base","New, Young Avengers",60,false,,,,,
"Base","No More Mutants",61,false,,,,,
"Base","Planet Hulk",62,false,,,,,
"Base","Civil War",63,false,,,,,
"Base","The Immortal Iron Fist",64,false,,,,,
"Base","The Illuminati",65,false,,,,,
"Base","The Death of Captain America",66,false,,,,,
"Base","Annihilation",67,false,,,,,
"Base","One More Day",68,false,,,,,
"Base","Asgardians Reborn",69,false,,,,,
"Base","A New Captain America",70,false,,,,,
"Base","World War Hulk",71,false,,,,,
"Base","Secret Invasion",72,false,,,,,
"Base","Dark Reign Begins",73,false,,,,,
"Base","Siege",74,false,,,,,
"Base","The Heroic Age",75,false,,,,,
