subset,name,cardNumber,isInsert,rarity,frontImageUrl,backImageUrl,description,price
Base - Comic Accurate,Deadpool,1,false,,,,,
Base - Comic Accurate,Old Man Logan,2,false,,,,,
Base - Comic Accurate,Cable,3,false,,,,,
Base - Comic Accurate,Domino,4,false,,,,,
Base - Comic Accurate,Wolverine,5,false,,,,,
Base - Comic Accurate,Colossus,6,false,,,,,
Base - Comic Accurate,Sabretooth,7,false,,,,,
Base - Comic Accurate,Psylocke,8,false,,,,,
Base - Comic Accurate,Juggernaut,9,false,,,,,
Base - Comic Accurate,Gambit,10,false,,,,,
Base - Comic Accurate,Pyro,11,false,,,,,
Base - Comic Accurate,Toad,12,false,,,,,
Base - Comic Accurate,Lady Deathstrike,13,false,,,,,
Base - Comic Accurate,Blob,14,false,,,,,
Base - Comic Accurate,X-23,15,false,,,,,
Base - Comic Accurate,Weapon X,16,false,,,,,
Base - Comic Accurate,Elektra,17,false,,,,,
Base - Comic Accurate,Blade,18,false,,,,,
Base - Comic Accurate,Bullseye,19,false,,,,,
Base - Comic Accurate,Patch,20,false,,,,,
Base - Characters,Deadpool,21,false,,,,,
Base - Characters,Mr. Paradox,22,false,,,,,
Base - Characters,Peter,23,false,,,,,
Base - Characters,Headpool,24,false,,,,,
Base - Characters,Pyro,25,false,,,,,
Base - Characters,Negasonic Teenage Warhead,26,false,,,,,
Base - Characters,Ladypool,27,false,,,,,
Base - Characters,Dogpool,28,false,,,,,
Base - Characters,Happy Hogan,29,false,,,,,
Base - Characters,Wolverine,30,false,,,,,
Base - Characters,Wade Wilson,31,false,,,,,
Base - Characters,Blind Al,32,false,,,,,
Base - Characters,Juggernaut,33,false,,,,,
Base - Characters,Russian,34,false,,,,,
Base - Characters,B-15,35,false,,,,,
Base - Characters,Cowboypool,36,false,,,,,
Base - Characters,Welshpool,37,false,,,,,
Base - Characters,Kidpool,38,false,,,,,
Base - Characters,Babypool,39,false,,,,,
Base - Characters,Toad,40,false,,,,,
Base - Characters,Sabretooth,41,false,,,,,
Base - Characters,X-23,42,false,,,,,
Base - Characters,Dopinder,43,false,,,,,
Base - Characters,Shatterstar,44,false,,,,,
Base - Characters,Quill,45,false,,,,,
Base - Characters,Cassandra Nova,46,false,,,,,
Base - Multiverse and More,The Adventure Begins,47,false,,,,,
Base - Multiverse and More,Searching for Logan,48,false,,,,,
Base - Multiverse and More,Minutemen In Pursuit,49,false,,,,,
Base - Multiverse and More,Hiding From The TVA,50,false,,,,,
Base - Multiverse and More,Deadpool Strikes Back,51,false,,,,,
Base - Multiverse and More,An All-Out Brawl,52,false,,,,,
Base - Multiverse and More,Taking Matters Into His Own Hands,53,false,,,,,
Base - Multiverse and More,Advanced Weaponry,54,false,,,,,
Base - Multiverse and More,Wade's Big Interview,55,false,,,,,
Base - Multiverse and More,The Scheming Mr. Paradox,56,false,,,,,
Base - Multiverse and More,The TVA Office,57,false,,,,,
Base - Multiverse and More,Fashion and Function,58,false,,,,,
Base - Multiverse and More,Enjoying His New Threads,59,false,,,,,
Base - Multiverse and More,Face-To-Face With The Hulk,60,false,,,,,
Base - Multiverse and More,Finding The Cavillrine,61,false,,,,,
Base - Multiverse and More,Deadpool Finds His Logan,62,false,,,,,
Base - Multiverse and More,Fleeing The TVA,63,false,,,,,
Base - Multiverse and More,First Tango With Wolverine,64,false,,,,,
Base - Multiverse and More,Patrolling The Void,65,false,,,,,
Base - Multiverse and More,The FantastiCar,66,false,,,,,
Base - Multiverse and More,A Fiery Entrance,67,false,,,,,
Base - Multiverse and More,Pyro's Fury,68,false,,,,,
Base - Multiverse and More,Fighting Fire With Fire,69,false,,,,,
Base - Multiverse and More,Magnet Trap,70,false,,,,,
Base - Multiverse and More,The Nefarious Cassandra Nova,71,false,,,,,
Base - Multiverse and More,Deadpool's Baby Knife,72,false,,,,,
Base - Multiverse and More,Dogpool Taking A Stroll,73,false,,,,,
Base - Multiverse and More,A Pool's Best Friend,74,false,,,,,
Base - Multiverse and More,Ready For Round 2,75,false,,,,,
Base - Multiverse and More,Aftermath,76,false,,,,,
Base - Multiverse and More,Waking Up In A Den of Rebels,77,false,,,,,
Base - Multiverse and More,A Reminder Of What You Are,78,false,,,,,
Base - Multiverse and More,Fracas In The Fortress,79,false,,,,,
Base - Multiverse and More,All Or Nothing,80,false,,,,,
Base - Multiverse and More,Unstoppable,81,false,,,,,
Base - Multiverse and More,Battle Prowess,82,false,,,,,
Base - Multiverse and More,Special Delivery,83,false,,,,,
Base - Multiverse and More,Caught In The Action,84,false,,,,,
Base - Multiverse and More,Subdued by Cassandra,85,false,,,,,
Base - Multiverse and More,The Coup Gone Wrong,86,false,,,,,
Base - Multiverse and More,Cassandra's Wrath,87,false,,,,,
Base - Multiverse and More,Into Logan's Mind,88,false,,,,,
Base - Multiverse and More,A Way Back,89,false,,,,,
Base - Multiverse and More,A Daring Escape,90,false,,,,,
Base - Multiverse and More,Cassandra Exits The Void,91,false,,,,,
Base - Multiverse and More,A Dire Situation,92,false,,,,,
Base - Multiverse and More,Standoff with Cowboypool,93,false,,,,,
Base - Multiverse and More,Mercenary Melee,94,false,,,,,
Base - Multiverse and More,Variant Madness,95,false,,,,,
Base - Multiverse and More,A Momentary Pause In Chaos,96,false,,,,,
Base - Multiverse and More,An Army of Two,97,false,,,,,
