subset,name,cardNumber,isInsert,rarity,frontImageUrl,backImageUrl,description,price
Base,Captain America,1,false,,,,,
Base,Bucky Barnes,2,false,,,,,
Base,Nick Fury,3,false,,,,,
Base,Union Jack,4,false,,,,,
Base,Namor,5,false,,,,,
Base,Arnim Zola,6,false,,,,,
Base,Crossbones,7,false,,,,,
Base,Thor,8,false,,,,,
Base,Iron Man,9,false,,,,,
Base,Ant-Man,10,false,,,,,
Base,Wasp,11,false,,,,,
Base,Hawkeye,12,false,,,,,
Base,Sharon Carter,13,false,,,,,
Base,Black Widow,14,false,,,,,
Base,Hulk,15,false,,,,,
Base,Falcon,16,false,,,,,
Base,Batroc The Leaper,17,false,,,,,
Base,Baron Zemo,18,false,,,,,
Base,Madame Hydra,19,false,,,,,
Base,Diamondback,20,false,,,,,
Base,Iron Fist,21,false,,,,,
Base,Taskmaster,22,false,,,,,
Base,Spider-Man,23,false,,,,,
Base,Black Panther,24,false,,,,,
Base,Loki,25,false,,,,,
Base,Thanos,26,false,,,,,
Base,Red Guardian,27,false,,,,,
Base,Baron Strucker,28,false,,,,,
Base,U.S. Agent,29,false,,,,,
Base,Wolverine,30,false,,,,,
Base,Scarlet Witch,31,false,,,,,
Base,Battlestar,32,false,,,,,
Base,Vision,33,false,,,,,
Base,Quicksilver,34,false,,,,,
Base,Doctor Doom,35,false,,,,,
Base,Ultron,36,false,,,,,
Base,Kang The Conqueror,37,false,,,,,
Base,Cyclops,38,false,,,,,
Base,Human Torch,39,false,,,,,
Base,M.O.D.O.K.,40,false,,,,,
Base,Doctor Strange,41,false,,,,,
Base,Doctor Faustus,42,false,,,,,
Base,War Machine,43,false,,,,,
Base,Flag-Smasher,44,false,,,,,
Base,Luke Cage,45,false,,,,,
Base,Mephisto,46,false,,,,,
Base,The Thing,47,false,,,,,
Base,Daredevil,48,false,,,,,
Base,Beast,49,false,,,,,
Base,Wonder Man,50,false,,,,,
New York's Heroes,Captain America,NYF-1,true,,,,,
New York's Heroes,Spider-Man,NYF-2,true,,,,,
New York's Heroes,Daredevil,NYF-3,true,,,,,
New York's Heroes,Luke Cage,NYF-4,true,,,,,
New York's Heroes,Doctor Strange,NYF-5,true,,,,,
New York's Heroes,The Thing,NYF-6,true,,,,,
New York's Heroes,Jessica Jones,NYF-7,true,,,,,
New York's Heroes,Moon Knight,NYF-8,true,,,,,
New York's Heroes,Iron Man,NYF-9,true,,,,,
New York's Heroes,Hawkeye,NYF-10,true,,,,,
New York's Heroes,Wasp,NYF-11,true,,,,,
New York's Heroes,Iron Fist,NYF-12,true,,,,,
New York's Heroes,Invisible Woman,NYF-13,true,,,,,
New York's Heroes,Misty Knight,NYF-14,true,,,,,
New York's Heroes,Miles Morales,NYF-15,true,,,,,
New York's Heroes,Cloak & Dagger,NYF-16,true,,,,,
New York's Heroes,Flash Thompson,NYF-17,true,,,,,
New York's Heroes,Mister Fantastic,NYF-18,true,,,,,
New York's Heroes,Nick Fury,NYF-19,true,,,,,
New York's Heroes,Human Torch,NYF-20,true,,,,,
New York's Heroes,Prowler,NYF-21,true,,,,,
New York's Heroes,Firestar,NYF-22,true,,,,,
New York's Heroes,Professor X,NYF-23,true,,,,,
New York's Heroes,Kate Bishop,NYF-24,true,,,,,
New York's Heroes,Ghost-Spider,NYF-25,true,,,,,
Welcome to Brooklyn Postcard,Bay Ridge,WB-1,true,,,,,
Welcome to Brooklyn Postcard,Bed-Stuy,WB-2,true,,,,,
Welcome to Brooklyn Postcard,Brooklyn Heights,WB-3,true,,,,,
Welcome to Brooklyn Postcard,Navy Yard,WB-4,true,,,,,
Welcome to Brooklyn Postcard,Bushwick,WB-5,true,,,,,
Welcome to Brooklyn Postcard,Canarsie,WB-6,true,,,,,
Welcome to Brooklyn Postcard,Carroll Gardens,WB-7,true,,,,,
Welcome to Brooklyn Postcard,Cobble Hill,WB-8,true,,,,,
Welcome to Brooklyn Postcard,Coney Island,WB-9,true,,,,,
Welcome to Brooklyn Postcard,Crown Heights,WB-10,true,,,,,
