Main Set,Sub set,Card Title,Card Number,Is insert
2026 Card Fun Marvel Rivals Eternal Glory,Base,Spider-Man,MRA01,FALSE
2027 Card Fun Marvel Rivals Eternal Glory,Base,Captain America,MRA02,FALSE
2028 Card Fun Marvel Rivals Eternal Glory,Base,Iron Man,MRA03,FALSE
2029 Card Fun Marvel Rivals Eternal Glory,Base,Thor,MRA04,FALSE
2030 Card Fun Marvel Rivals Eternal Glory,Base,Hulk,MRA05,FALSE
2031 Card Fun Marvel Rivals Eternal Glory,Base,Black Panther,MRA06,FALSE
2032 Card Fun Marvel Rivals Eternal Glory,Base,Black Widow,MRA07,FALSE
2033 Card Fun Marvel Rivals Eternal Glory,Base,Hawkeye,MRA08,FALSE
2034 Card Fun Marvel Rivals Eternal Glory,Base,Doctor Strange,MRA09,FALSE
2035 Card Fun Marvel Rivals Eternal Glory,Base,Scarlet Witch,MRA10,FALSE
2036 Card Fun Marvel Rivals Eternal Glory,Base,Namor,MRA11,FALSE
2037 Card Fun Marvel Rivals Eternal Glory,Base,Cloak & Dagger,MRA12,FALSE
2038 Card Fun Marvel Rivals Eternal Glory,Base,Storm,MRA13,FALSE
2039 Card Fun Marvel Rivals Eternal Glory,Base,Moon Knight,MRA14,FALSE
2040 Card Fun Marvel Rivals Eternal Glory,Base,Winter Soldier,MRA15,FALSE
2041 Card Fun Marvel Rivals Eternal Glory,Base,Squirrel Girl,MRA16,FALSE
2042 Card Fun Marvel Rivals Eternal Glory,Base,Rocket Raccoon,MRA17,FALSE
2043 Card Fun Marvel Rivals Eternal Glory,Base,Groot,MRA18,FALSE
2044 Card Fun Marvel Rivals Eternal Glory,Base,Star-Lord,MRA19,FALSE
2045 Card Fun Marvel Rivals Eternal Glory,Base,Mantis,MRA20,FALSE
2046 Card Fun Marvel Rivals Eternal Glory,Base,Venom,MRA21,FALSE
2047 Card Fun Marvel Rivals Eternal Glory,Base,Magik,MRA22,FALSE
2048 Card Fun Marvel Rivals Eternal Glory,Base,Peni Parker,MRA23,FALSE
2049 Card Fun Marvel Rivals Eternal Glory,Base,The Punisher,MRA24,FALSE
2050 Card Fun Marvel Rivals Eternal Glory,Base,Luna Snow,MRA25,FALSE
2051 Card Fun Marvel Rivals Eternal Glory,Base,Adam Warlock,MRA26,FALSE
2052 Card Fun Marvel Rivals Eternal Glory,Base,Magneto,MRA27,FALSE
2053 Card Fun Marvel Rivals Eternal Glory,Base,Loki,MRA28,FALSE
2054 Card Fun Marvel Rivals Eternal Glory,Base,Hela,MRA29,FALSE
2055 Card Fun Marvel Rivals Eternal Glory,Base,Iron Fist,MRA30,FALSE
2056 Card Fun Marvel Rivals Eternal Glory,Base,Jeff the Land Shark,MRA31,FALSE
2057 Card Fun Marvel Rivals Eternal Glory,Base,Psylocke,MRA32,FALSE
2058 Card Fun Marvel Rivals Eternal Glory,Base,Wolverine,MRA33,FALSE
2059 Card Fun Marvel Rivals Eternal Glory,Base,Mister Fantastic,MRA34,FALSE
2060 Card Fun Marvel Rivals Eternal Glory,Base,Invisible Woman,MRA35,FALSE
2061 Card Fun Marvel Rivals Eternal Glory,Base,Human Torch,MRA36,FALSE
2062 Card Fun Marvel Rivals Eternal Glory,Base,The Thing,MRA37,FALSE
2063 Card Fun Marvel Rivals Eternal Glory,Base,Emma Frost,MRA38,FALSE
2064 Card Fun Marvel Rivals Eternal Glory,Base,Ultron,MRA39,FALSE
2065 Card Fun Marvel Rivals Eternal Glory,Base,Jean Grey,MRA40,FALSE
