Main Set,Sub Set,Card Number,Card Name,Is Insert
2026 Topps Fantastic Four: 65th Anniversary,Base,1,Mister Fantastic ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,2,Invisible Woman ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,3,Human Torch ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,4,The Thing ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,5,Air-Walker  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,6,Alicia Masters ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,7,Artie Maddicks ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,8,Attuma  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,9,Awesome Android ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,10,Bentley-23  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,11,Beyonder  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,12,Devil Dinosaur ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,13,Diablo  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,14,Doctor Doom ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,15,Dragon Man ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,16,Ego  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,17,Fallen One ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,18,Firelord  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,19,Flux  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,20,Franklin Richards ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,21,H.E.R.B.I.E.  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,22,The High Evolutionary,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,23,Immortus  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,24,Impossible Man ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,25,Klaw  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,26,Leech  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,27,Lyja  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,28,Mad Thinker ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,29,Miss Thing ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,30,Mobius M. Mobius,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,31,Molecule Man ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,32,Morg  ,FALSE
