Main Set,Subset,Card Number,Card Name,Is insert
2026 Topps Mint Marvel ,Base,1,The Thing,FALSE
2026 Topps Mint Marvel ,Base,2,Eternity,FALSE
2026 Topps Mint Marvel,Base,3,Colossus,FALSE
2026 Topps Mint Marvel,Base,4,Baron Zemo,FALSE
2026 Topps Mint Marvel,Base,5,Groot,FALSE
2026 Topps Mint Marvel,Base,6,Elektra,FALSE
2026 Topps Mint Marvel,Base,7,Man-Thing,FALSE
2026 Topps Mint Marvel,Base,8,Squirrel Girl,FALSE
2026 Topps Mint Marvel,Base,9,Nick Fury,FALSE
2026 Topps Mint Marvel,Base,10,Thena,FALSE
2026 Topps Mint Marvel,Base,11,Corruption,FALSE
2026 Topps Mint Marvel,Base,12,Lockjaw,FALSE
2026 Topps Mint Marvel,Base,13,Ghost-Spider,FALSE
2026 Topps Mint Marvel,Base,14,Phoenix,FALSE
2026 Topps Mint Marvel,Base,15,Dormammu,FALSE
2026 Topps Mint Marvel,Base,16,Bishop,FALSE
2026 Topps Mint Marvel,Base,17,Winter Soldier,FALSE
2026 Topps Mint Marvel,Base,18,Mr. Sinister,FALSE
2026 Topps Mint Marvel,Base,19,Spider-Ham,FALSE
2026 Topps Mint Marvel,Base,20,Scarlet Witch,FALSE
2026 Topps Mint Marvel,Base,21,Black Knight,FALSE
2026 Topps Mint Marvel,Base,22,Kraven the Hunter,FALSE
2026 Topps Mint Marvel,Base,23,Red Hulk,FALSE
2026 Topps Mint Marvel,Base,24,Enchantress,FALSE
2026 Topps Mint Marvel,Base,25,Spider-Man 2099,FALSE
2026 Topps Mint Marvel,Base,26,Infinity,FALSE
2026 Topps Mint Marvel,Base,27,Luke Cage,FALSE
2026 Topps Mint Marvel,Base,28,Scarlet Spider,FALSE
2026 Topps Mint Marvel,Base,29,Drax,FALSE
2026 Topps Mint Marvel,Base,30,Green Goblin,FALSE
2026 Topps Mint Marvel,Base,31,Mysterio,FALSE
2026 Topps Mint Marvel,Base,32,Dazzler,FALSE
2026 Topps Mint Marvel,Base,33,Wiccan,FALSE
2026 Topps Mint Marvel,Base,34,Beta Ray Bill,FALSE
2026 Topps Mint Marvel,Base,35,Carnage,FALSE
2026 Topps Mint Marvel,Base,36,Spider-Punk,FALSE
2026 Topps Mint Marvel,Base,37,Juggernaut,FALSE
2026 Topps Mint Marvel,Base,38,Cable,FALSE
2026 Topps Mint Marvel,Base,39,Doomasaur,FALSE
2026 Topps Mint Marvel,Base,40,Ant-Man,FALSE
2026 Topps Mint Marvel,Base,41,Mephisto,FALSE
2026 Topps Mint Marvel,Base,42,Wasp,FALSE
2026 Topps Mint Marvel,Base,43,Hobgoblin,FALSE
2026 Topps Mint Marvel,Base,44,Rocket Raccoon,FALSE
2026 Topps Mint Marvel,Base,45,Black Winter,FALSE
2026 Topps Mint Marvel,Base,46,Iron Fist,FALSE
2026 Topps Mint Marvel,Base,47,Jubilee,FALSE
2026 Topps Mint Marvel,Base,48,Gwenpool,FALSE
2026 Topps Mint Marvel,Base,49,Ms. Marvel,FALSE
2026 Topps Mint Marvel,Base,50,She-Hulk,FALSE
2026 Topps Mint Marvel,Base,51,Blue Marvel,FALSE
2026 Topps Mint Marvel,Base,52,Cloak & Dagger,FALSE
2026 Topps Mint Marvel,Base,53,Major League Venom,FALSE
2026 Topps Mint Marvel,Base,54,Mighty Thor,FALSE
2026 Topps Mint Marvel,Base,55,The Prowler,FALSE
2026 Topps Mint Marvel,Base,56,Blade,FALSE
2026 Topps Mint Marvel,Base,57,Emma Frost,FALSE
2026 Topps Mint Marvel,Base,58,Black Bolt,FALSE
2026 Topps Mint Marvel,Base,59,Gambit,FALSE
2026 Topps Mint Marvel,Base,60,Vision,FALSE
2026 Topps Mint Marvel,Base,61,Iceman,FALSE
2026 Topps Mint Marvel,Base,62,Taskmaster,FALSE
2026 Topps Mint Marvel,Base,63,Magik,FALSE
2026 Topps Mint Marvel,Base,64,Silver Sable,FALSE
2026 Topps Mint Marvel,Base,65,Ultron,FALSE
2026 Topps Mint Marvel,Base,66,Black Widow,FALSE
2026 Topps Mint Marvel,Base,67,Spider-Man Noir,FALSE
2026 Topps Mint Marvel,Base,68,Black Cat,FALSE
2026 Topps Mint Marvel,Base,69,Mister Fantastic,FALSE
2026 Topps Mint Marvel,Base,70,Kate Bishop,FALSE
2026 Topps Mint Marvel,Base,71,Phantom Rider,FALSE
2026 Topps Mint Marvel,Base,72,Hawkeye,FALSE
2026 Topps Mint Marvel,Base,73,Spider-Girl,FALSE
2026 Topps Mint Marvel,Base,74,Invisible Woman,FALSE
2026 Topps Mint Marvel,Base,75,Captain America (Sam Wilson),FALSE
2026 Topps Mint Marvel,Base,76,Daredevil,TRUE
2026 Topps Mint Marvel,Base,77,Shang-Chi,TRUE
2026 Topps Mint Marvel,Base,78,Bullseye,TRUE
2026 Topps Mint Marvel,Base,79,Sentry,TRUE
2026 Topps Mint Marvel,Base,80,Howard the Duck,TRUE
2026 Topps Mint Marvel,Base,81,Beast,TRUE
2026 Topps Mint Marvel,Base,82,Iron Patriot,TRUE
2026 Topps Mint Marvel,Base,83,Gamora,TRUE
2026 Topps Mint Marvel,Base,84,Killmonger,TRUE
2026 Topps Mint Marvel,Base,85,Rogue,TRUE
2026 Topps Mint Marvel,Base,86,Wonder Man,TRUE
2026 Topps Mint Marvel,Base,87,Human Torch,TRUE
2026 Topps Mint Marvel,Base,88,Kitty Pryde,TRUE
2026 Topps Mint Marvel,Base,89,Nova,TRUE
2026 Topps Mint Marvel,Base,90,Doctor Strange,TRUE
2026 Topps Mint Marvel,Base,91,Adam Warlock,TRUE
2026 Topps Mint Marvel,Base,92,Doctor Octopus,TRUE
2026 Topps Mint Marvel,Base,93,Kingpin,TRUE
2026 Topps Mint Marvel,Base,94,Captain Marvel,TRUE
2026 Topps Mint Marvel,Base,95,Odin,TRUE
2026 Topps Mint Marvel,Base,96,Star-Lord,TRUE
2026 Topps Mint Marvel,Base,97,Nightcrawler,TRUE
2026 Topps Mint Marvel,Base,98,Annihilus,TRUE
2026 Topps Mint Marvel,Base,99,Ghost Rider,TRUE
2026 Topps Mint Marvel,Base,100,Electro,TRUE
2026 Topps Mint Marvel,Base,101,Black Panther,TRUE
2026 Topps Mint Marvel,Base,102,Venom,TRUE
2026 Topps Mint Marvel,Base,103,Spider-Man,TRUE
2026 Topps Mint Marvel,Base,104,Cyclops,TRUE
2026 Topps Mint Marvel,Base,105,Sabretooth,TRUE
2026 Topps Mint Marvel,Base,106,Loki,TRUE
2026 Topps Mint Marvel,Base,107,Storm,TRUE
2026 Topps Mint Marvel,Base,108,Jean Grey,TRUE
2026 Topps Mint Marvel,Base,109,Silver Surfer,TRUE
2026 Topps Mint Marvel,Base,110,Captain America,TRUE
2026 Topps Mint Marvel,Base,111,Miles Morales,TRUE
2026 Topps Mint Marvel,Base,112,Hulk,TRUE
2026 Topps Mint Marvel,Base,113,Thor,TRUE
2026 Topps Mint Marvel,Base,114,Apocalypse,TRUE
2026 Topps Mint Marvel,Base,115,Moon Knight,TRUE
2026 Topps Mint Marvel,Base,116,Galactus,TRUE
2026 Topps Mint Marvel,Base,117,Thanos,TRUE
2026 Topps Mint Marvel,Base,118,Iron Man,TRUE
2026 Topps Mint Marvel,Base,119,Namor,TRUE
2026 Topps Mint Marvel,Base,120,Spider-Woman,TRUE
2026 Topps Mint Marvel,Base,121,Wolverine,TRUE
2026 Topps Mint Marvel,Base,122,Doctor Doom,TRUE
2026 Topps Mint Marvel,Base,123,Jeff the Land Shark,TRUE
2026 Topps Mint Marvel,Base,124,Professor X,TRUE
2026 Topps Mint Marvel,Base,125,Magneto,TRUE
2026 Topps Mint Marvel,Chrome Variation,1,The Thing,TRUE
2026 Topps Mint Marvel,Chrome Variation,2,Eternity,TRUE
2026 Topps Mint Marvel,Chrome Variation,3,Colossus,TRUE
2026 Topps Mint Marvel,Chrome Variation,4,Baron Zemo,TRUE
2026 Topps Mint Marvel,Chrome Variation,5,Groot,TRUE
2026 Topps Mint Marvel,Chrome Variation,6,Elektra,TRUE
2026 Topps Mint Marvel,Chrome Variation,7,Man-Thing,TRUE
2026 Topps Mint Marvel,Chrome Variation,8,Squirrel Girl,TRUE
2026 Topps Mint Marvel,Chrome Variation,9,Nick Fury,TRUE
2026 Topps Mint Marvel,Chrome Variation,10,Thena,TRUE
2026 Topps Mint Marvel,Chrome Variation,11,Corruption,TRUE
2026 Topps Mint Marvel,Chrome Variation,12,Lockjaw,TRUE
2026 Topps Mint Marvel,Chrome Variation,13,Ghost-Spider,TRUE
2026 Topps Mint Marvel,Chrome Variation,14,Phoenix,TRUE
2026 Topps Mint Marvel,Chrome Variation,15,Dormammu,TRUE
2026 Topps Mint Marvel,Chrome Variation,16,Bishop,TRUE
2026 Topps Mint Marvel,Chrome Variation,17,Winter Soldier,TRUE
2026 Topps Mint Marvel,Chrome Variation,18,Mr. Sinister,TRUE
2026 Topps Mint Marvel,Chrome Variation,19,Spider-Ham,TRUE
2026 Topps Mint Marvel,Chrome Variation,20,Scarlet Witch,TRUE
2026 Topps Mint Marvel,Chrome Variation,21,Black Knight,TRUE
2026 Topps Mint Marvel,Chrome Variation,22,Kraven the Hunter,TRUE
2026 Topps Mint Marvel,Chrome Variation,23,Red Hulk,TRUE
2026 Topps Mint Marvel,Chrome Variation,24,Enchantress,TRUE
2026 Topps Mint Marvel,Chrome Variation,25,Spider-Man 2099,TRUE
2026 Topps Mint Marvel,Chrome Variation,26,Infinity,TRUE
2026 Topps Mint Marvel,Chrome Variation,27,Luke Cage,TRUE
2026 Topps Mint Marvel,Chrome Variation,28,Scarlet Spider,TRUE
2026 Topps Mint Marvel,Chrome Variation,29,Drax,TRUE
2026 Topps Mint Marvel,Chrome Variation,30,Green Goblin,TRUE
2026 Topps Mint Marvel,Chrome Variation,31,Mysterio,TRUE
2026 Topps Mint Marvel,Chrome Variation,32,Dazzler,TRUE
2026 Topps Mint Marvel,Chrome Variation,33,Wiccan,TRUE
2026 Topps Mint Marvel,Chrome Variation,34,Beta Ray Bill,TRUE
2026 Topps Mint Marvel,Chrome Variation,35,Carnage,TRUE
2026 Topps Mint Marvel,Chrome Variation,36,Spider-Punk,TRUE
