Main Set,Subset,Card number,Card Name,Is Insert
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-01,Black Cat,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-02,Black Panther,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-03,Black Widow,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-04,Captain America,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-05,Carnage,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-06,Phoenix,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-07,Ghost-Spider,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-08,Hulk,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-09,Iron Man,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-10,Jeff the Land Shark,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-11,Magik,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-12,Mary Jane,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-13,Moon Knight,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-14,Rogue,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-15,Scarlet Witch,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-16,She-Hulk,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-17,Spider-Man,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-18,Thor,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-19,Venom,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS,VO-20,Wolverine,FALSE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-01,Black Cat,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-02,Black Panther,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-03,Black Widow,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-04,Captain America,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-05,Carnage,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-06,Phoenix,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-07,Ghost-Spider,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-08,Hulk,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-09,Iron Man,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-10,Jeff the Land Shark,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-11,Magik,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-12,Mary Jane,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-13,Moon Knight,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-14,Rogue,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-15,Scarlet Witch,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-16,She-Hulk,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-17,Spider-Man,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-18,Thor,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-19,Venom,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - Black,VO-20,Wolverine,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-01,Black Cat,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-02,Black Panther,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-03,Black Widow,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-04,Captain America,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-05,Carnage,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-06,Phoenix,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-07,Ghost-Spider,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-08,Hulk,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-09,Iron Man,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-10,Jeff the Land Shark,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-11,Magik,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-12,Mary Jane,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-13,Moon Knight,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-14,Rogue,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-15,Scarlet Witch,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-16,She-Hulk,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-17,Spider-Man,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-18,Thor,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-19,Venom,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - RED,VO-20,Wolverine,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-01,Black Cat,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-02,Black Panther,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-03,Black Widow,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-04,Captain America,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-05,Carnage,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-06,Phoenix,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-07,Ghost-Spider,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-08,Hulk,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-09,Iron Man,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-10,Jeff the Land Shark,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-11,Magik,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-12,Mary Jane,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-13,Moon Knight,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-14,Rogue,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-15,Scarlet Witch,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-16,She-Hulk,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-17,Spider-Man,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-18,Thor,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-19,Venom,TRUE
2026 Topps Vault Marvel,VAULT ORIGINALS - GOLD,VO-20,Wolverine,TRUE
2026 Topps Vault Marvel,VAULT RELICS,VR-01,Captain America,TRUE
