Main Set,Subset,Card Number,Card Name,Is insert
2026 Topps Chrome Sapphire Edition,Base,1,Abomination,FALSE
2026 Topps Chrome Sapphire Edition,Base,2,Adam Warlock,FALSE
2026 Topps Chrome Sapphire Edition,Base,3,Agatha Harkness,FALSE
2026 Topps Chrome Sapphire Edition,Base,4,Amaranth,FALSE
2026 Topps Chrome Sapphire Edition,Base,5,America Chavez,FALSE
2026 Topps Chrome Sapphire Edition,Base,6,Ant-Man,FALSE
2026 Topps Chrome Sapphire Edition,Base,7,Apocalypse,FALSE
2026 Topps Chrome Sapphire Edition,Base,8,Ares,FALSE
2026 Topps Chrome Sapphire Edition,Base,9,Baron Zemo,FALSE
2026 Topps Chrome Sapphire Edition,Base,10,Beast,FALSE
2026 Topps Chrome Sapphire Edition,Base,11,Beta Ray Bill,FALSE
2026 Topps Chrome Sapphire Edition,Base,12,Black Bolt,FALSE
2026 Topps Chrome Sapphire Edition,Base,13,Black Cat,FALSE
2026 Topps Chrome Sapphire Edition,Base,14,Black Knight,FALSE
2026 Topps Chrome Sapphire Edition,Base,15,Black Panther,FALSE
2026 Topps Chrome Sapphire Edition,Base,16,Black Widow,FALSE
2026 Topps Chrome Sapphire Edition,Base,17,Blade,FALSE
2026 Topps Chrome Sapphire Edition,Base,18,Blink,FALSE
2026 Topps Chrome Sapphire Edition,Base,19,Captain America,FALSE
2026 Topps Chrome Sapphire Edition,Base,20,Captain Britain,FALSE
2026 Topps Chrome Sapphire Edition,Base,21,Captain Marvel,FALSE
2026 Topps Chrome Sapphire Edition,Base,22,Carnage,FALSE
2026 Topps Chrome Sapphire Edition,Base,23,Colossus,FALSE
2026 Topps Chrome Sapphire Edition,Base,24,Cyclops,FALSE
2026 Topps Chrome Sapphire Edition,Base,25,Daredevil,FALSE
2026 Topps Chrome Sapphire Edition,Base,26,Dazzler,FALSE
2026 Topps Chrome Sapphire Edition,Base,27,Dark Gwenpool,FALSE
2026 Topps Chrome Sapphire Edition,Base,28,Doctor Doom,FALSE
2026 Topps Chrome Sapphire Edition,Base,29,Doctor Octopus,FALSE
2026 Topps Chrome Sapphire Edition,Base,30,Domino,FALSE
2026 Topps Chrome Sapphire Edition,Base,31,Doomasaur,FALSE
2026 Topps Chrome Sapphire Edition,Base,32,Dormammu,FALSE
2026 Topps Chrome Sapphire Edition,Base,33,Dragonfire,FALSE
2026 Topps Chrome Sapphire Edition,Base,34,Emma Frost,FALSE
2026 Topps Chrome Sapphire Edition,Base,35,Enchantress,FALSE
2026 Topps Chrome Sapphire Edition,Base,36,Eternity,FALSE
2026 Topps Chrome Sapphire Edition,Base,37,Forge,FALSE
2026 Topps Chrome Sapphire Edition,Base,38,Galactus,FALSE
2026 Topps Chrome Sapphire Edition,Base,39,Gambit,FALSE
2026 Topps Chrome Sapphire Edition,Base,40,Gamora,FALSE
2026 Topps Chrome Sapphire Edition,Base,41,Ghost Rider,FALSE
2026 Topps Chrome Sapphire Edition,Base,42,Ghost-Spider,FALSE
2026 Topps Chrome Sapphire Edition,Base,43,Glob,FALSE
2026 Topps Chrome Sapphire Edition,Base,44,Goblin Queen,FALSE
2026 Topps Chrome Sapphire Edition,Base,45,Green Goblin,FALSE
2026 Topps Chrome Sapphire Edition,Base,46,Groot,FALSE
2026 Topps Chrome Sapphire Edition,Base,47,Hawkeye,FALSE
2026 Topps Chrome Sapphire Edition,Base,48,Hercules,FALSE
2026 Topps Chrome Sapphire Edition,Base,49,Hope Summers,FALSE
2026 Topps Chrome Sapphire Edition,Base,50,Hulk,FALSE
2026 Topps Chrome Sapphire Edition,Base,51,Human Torch,FALSE
2026 Topps Chrome Sapphire Edition,Base,52,Iceman,FALSE
2026 Topps Chrome Sapphire Edition,Base,53,Ikaris,FALSE
2026 Topps Chrome Sapphire Edition,Base,54,Infernal Hulk,FALSE
2026 Topps Chrome Sapphire Edition,Base,55,Invisible Woman,FALSE
2026 Topps Chrome Sapphire Edition,Base,56,Iron Fist,FALSE
2026 Topps Chrome Sapphire Edition,Base,57,Iron Man,FALSE
2026 Topps Chrome Sapphire Edition,Base,58,Ironheart,FALSE
2026 Topps Chrome Sapphire Edition,Base,59,Jean Grey,FALSE
2026 Topps Chrome Sapphire Edition,Base,60,Jef the Land Shark,FALSE
2026 Topps Chrome Sapphire Edition,Base,61,Jubilee,FALSE
2026 Topps Chrome Sapphire Edition,Base,62,Juggernaut,FALSE
2026 Topps Chrome Sapphire Edition,Base,63,Kate Bishop,FALSE
2026 Topps Chrome Sapphire Edition,Base,64,Kid Juggernaut,FALSE
2026 Topps Chrome Sapphire Edition,Base,65,Kingpin,FALSE
2026 Topps Chrome Sapphire Edition,Base,66,Kitty Pryde,FALSE
2026 Topps Chrome Sapphire Edition,Base,67,Kraven the Hunter,FALSE
2026 Topps Chrome Sapphire Edition,Base,68,Leader,FALSE
2026 Topps Chrome Sapphire Edition,Base,69,Lizard,FALSE
2026 Topps Chrome Sapphire Edition,Base,70,Lockjaw,FALSE
2026 Topps Chrome Sapphire Edition,Base,71,Longshot,FALSE
2026 Topps Chrome Sapphire Edition,Base,72,Luke Cage,FALSE
2026 Topps Chrome Sapphire Edition,Base,73,M.O.D.O.K.,FALSE
2026 Topps Chrome Sapphire Edition,Base,74,Magneto,FALSE
2026 Topps Chrome Sapphire Edition,Base,75,Man-Thing,FALSE
2026 Topps Chrome Sapphire Edition,Base,76,Mantis,FALSE
2026 Topps Chrome Sapphire Edition,Base,77,Mephisto,FALSE
2026 Topps Chrome Sapphire Edition,Base,78,Miles Morales,FALSE
2026 Topps Chrome Sapphire Edition,Base,79,Mister Fantastic,FALSE
2026 Topps Chrome Sapphire Edition,Base,80,Mister Sinister,FALSE
2026 Topps Chrome Sapphire Edition,Base,81,Moon Knight,FALSE
2026 Topps Chrome Sapphire Edition,Base,82,Moonstar,FALSE
2026 Topps Chrome Sapphire Edition,Base,83,Ms. Marvel,FALSE
2026 Topps Chrome Sapphire Edition,Base,84,Mutina,FALSE
2026 Topps Chrome Sapphire Edition,Base,85,Mysterio,FALSE
2026 Topps Chrome Sapphire Edition,Base,86,Mystique,FALSE
2026 Topps Chrome Sapphire Edition,Base,87,Nightcrawler,FALSE
2026 Topps Chrome Sapphire Edition,Base,88,Nightdrifter,FALSE
2026 Topps Chrome Sapphire Edition,Base,89,Nova,FALSE
2026 Topps Chrome Sapphire Edition,Base,90,Omega Red,FALSE
2026 Topps Chrome Sapphire Edition,Base,91,Professor X,FALSE
2026 Topps Chrome Sapphire Edition,Base,92,Psylocke,FALSE
2026 Topps Chrome Sapphire Edition,Base,93,Quicksilver,FALSE
2026 Topps Chrome Sapphire Edition,Base,94,Rasputin IV,FALSE
2026 Topps Chrome Sapphire Edition,Base,95,Rek-Rap,FALSE
2026 Topps Chrome Sapphire Edition,Base,96,Revelation,FALSE
2026 Topps Chrome Sapphire Edition,Base,97,Rhino,FALSE
2026 Topps Chrome Sapphire Edition,Base,98,Rocket Raccoon,FALSE
2026 Topps Chrome Sapphire Edition,Base,99,Rogue,FALSE
2026 Topps Chrome Sapphire Edition,Base,100,Sleeper Agent,FALSE
2026 Topps Chrome Sapphire Edition,Base,101,Angela,FALSE
2026 Topps Chrome Sapphire Edition,Base,102,Anti-Venom,FALSE
2026 Topps Chrome Sapphire Edition,Base,103,Arachnix,FALSE
2026 Topps Chrome Sapphire Edition,Base,104,Arcade,FALSE
2026 Topps Chrome Sapphire Edition,Base,105,Archangel,FALSE
2026 Topps Chrome Sapphire Edition,Base,106,Chameleon,FALSE
2026 Topps Chrome Sapphire Edition,Base,107,Clea,FALSE
2026 Topps Chrome Sapphire Edition,Base,108,Cosmic Ghost Rider,FALSE
2026 Topps Chrome Sapphire Edition,Base,109,Deathlok,FALSE
2026 Topps Chrome Sapphire Edition,Base,110,Devil Dinosaur,FALSE
2026 Topps Chrome Sapphire Edition,Base,111,Doctor Strange,FALSE
2026 Topps Chrome Sapphire Edition,Base,112,Doom 2099,FALSE
2026 Topps Chrome Sapphire Edition,Base,113,Doyle Dormammu,FALSE
2026 Topps Chrome Sapphire Edition,Base,114,Elbecca Voss,FALSE
2026 Topps Chrome Sapphire Edition,Base,115,Electro,FALSE
2026 Topps Chrome Sapphire Edition,Base,116,Elektra,FALSE
2026 Topps Chrome Sapphire Edition,Base,117,Evangeline,FALSE
2026 Topps Chrome Sapphire Edition,Base,118,Exodus,FALSE
2026 Topps Chrome Sapphire Edition,Base,119,Glitch,FALSE
2026 Topps Chrome Sapphire Edition,Base,120,Grandmaster,FALSE
2026 Topps Chrome Sapphire Edition,Base,121,Gwenpool,FALSE
2026 Topps Chrome Sapphire Edition,Base,122,Hallows' Eve,FALSE
2026 Topps Chrome Sapphire Edition,Base,123,Hellcat,FALSE
2026 Topps Chrome Sapphire Edition,Base,124,Hellgate,FALSE
2026 Topps Chrome Sapphire Edition,Base,125,Hellverine,FALSE
2026 Topps Chrome Sapphire Edition,Base,126,Hobgoblin,FALSE
2026 Topps Chrome Sapphire Edition,Base,127,Iron Cat,FALSE
2026 Topps Chrome Sapphire Edition,Base,128,Kid Venom,FALSE
2026 Topps Chrome Sapphire Edition,Base,129,Knull,FALSE
2026 Topps Chrome Sapphire Edition,Base,130,Lady Henrietta,FALSE
2026 Topps Chrome Sapphire Edition,Base,131,Loki,FALSE
2026 Topps Chrome Sapphire Edition,Base,132,Luna Snow,FALSE
2026 Topps Chrome Sapphire Edition,Base,133,Maestro,FALSE
2026 Topps Chrome Sapphire Edition,Base,134,Magik,FALSE
2026 Topps Chrome Sapphire Edition,Base,135,Mar-Vell,FALSE
2026 Topps Chrome Sapphire Edition,Base,136,Mary Jane,FALSE
2026 Topps Chrome Sapphire Edition,Base,137,Misery,FALSE
2026 Topps Chrome Sapphire Edition,Base,138,Moon Girl,FALSE
2026 Topps Chrome Sapphire Edition,Base,139,Nimrod,FALSE
2026 Topps Chrome Sapphire Edition,Base,140,SP//dr,FALSE
2026 Topps Chrome Sapphire Edition,Base,141,Rachel Summers,FALSE
2026 Topps Chrome Sapphire Edition,Base,142,Raelith,FALSE
2026 Topps Chrome Sapphire Edition,Base,143,Rapid,FALSE
2026 Topps Chrome Sapphire Edition,Base,144,Sabretooth,FALSE
2026 Topps Chrome Sapphire Edition,Base,145,Scarlet Witch,FALSE
2026 Topps Chrome Sapphire Edition,Base,146,Scarlet Spider,FALSE
2026 Topps Chrome Sapphire Edition,Base,147,Scorpion,FALSE
2026 Topps Chrome Sapphire Edition,Base,148,Scream,FALSE
2026 Topps Chrome Sapphire Edition,Base,149,Sentry,FALSE
2026 Topps Chrome Sapphire Edition,Base,150,Shang-Chi,FALSE
2026 Topps Chrome Sapphire Edition,Base,151,She-Hulk,FALSE
2026 Topps Chrome Sapphire Edition,Base,152,She-Venom,FALSE
2026 Topps Chrome Sapphire Edition,Base,153,Shocker,FALSE
2026 Topps Chrome Sapphire Edition,Base,154,Shuri,FALSE
2026 Topps Chrome Sapphire Edition,Base,155,Silence,FALSE
2026 Topps Chrome Sapphire Edition,Base,156,Silk,FALSE
2026 Topps Chrome Sapphire Edition,Base,157,Silver Surfer,FALSE
2026 Topps Chrome Sapphire Edition,Base,158,Silver Sable,FALSE
2026 Topps Chrome Sapphire Edition,Base,159,Sister Sorrow,FALSE
2026 Topps Chrome Sapphire Edition,Base,160,Spider-Boy,FALSE
2026 Topps Chrome Sapphire Edition,Base,161,Spider-Girl,FALSE
2026 Topps Chrome Sapphire Edition,Base,162,Spider-Ham,FALSE
2026 Topps Chrome Sapphire Edition,Base,163,Spider-Man,FALSE
2026 Topps Chrome Sapphire Edition,Base,164,Spider-Man 2099,FALSE
