Set Number,Set Year,Main Set Name,Sub Set Name
1,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel  
2,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Binary Autographs  
3,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Binary Autographs Printing Plates Black  
4,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Binary Autographs Printing Plates Cyan  
5,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Binary Autographs Printing Plates Magenta  
6,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Binary Autographs Printing Plates Yellow  
7,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Gold  
8,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Higher Further Faster  
9,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Higher Further Faster Gold  
10,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Higher Further Faster Printing Plates Black  
11,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Higher Further Faster Printing Plates Cyan  
12,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Higher Further Faster Printing Plates Magenta  
13,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Higher Further Faster Printing Plates Yellow  
14,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Higher Further Faster Silver  
15,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Not What it Seems  
16,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Not What it Seems Gold  
17,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Not What it Seems Silver  
18,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Printing Plates Black  
19,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Printing Plates Cyan  
20,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Printing Plates Magenta  
21,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Printing Plates Yellow  
22,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Silver  
23,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Sketch Artists  
24,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Supreme Intelligence  
25,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Supreme Intelligence Gold  
26,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Supreme Intelligence Printing Plates Black  
27,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Supreme Intelligence Printing Plates Cyan  
28,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Supreme Intelligence Printing Plates Magenta  
29,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Supreme Intelligence Printing Plates Yellow  
30,2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel,Captain Marvel Supreme Intelligence Silver  
31,1992,1992 SkyBox Marvel Masterpieces,Lost Marvel Bonus Cards  
32,1994,1994 Flair Marvel Annual,Flair Marvel Universe 4up-Panels 
33,1994,1994 Flair Marvel Annual,Flair Marvel Universe 9up-Panels 
34,1994,1994 Flair Marvel Annual,Flair Marvel Universe PowerBlast 
35,1994,1994 Flair Marvel Annual,Flair Marvel Universe Prints 
36,1994,1994 Flair Marvel Annual,Flair Marvel Universe Promos 
37,1996,1996 Fleer/SkyBox Marvel Vision,Marvel Vision Tattoos  
38,1998,1998 Marvel Creators Collection,Marvel Gold  
39,2008,2008 Upper Deck Marvel Masterpieces Set 2,Marvel Heroines  
40,2008,2008 Upper Deck Marvel Masterpieces Set 3,Marvel Knights  
41,2008,2008 Upper Deck Marvel Masterpieces Set 3,Marvel Moments  
42,2010,2010 Rittenhouse 70 Years of Marvel Comics,Marvel Tribute  
43,2010,2010 Rittenhouse Marvel Heroes and Villains,Marvel's Most Wanted  
44,2011,2011 Rittenhouse Marvel Universe,Marvel Originals  
45,2011,2011 Rittenhouse Marvel: Dangerous Divas,Women of Marvel  
46,2011,2011 Upper Deck Marvel Beginnings S1,Marvel Prime Micromotion Foil  
47,2011,2011 Upper Deck Marvel Beginnings S1,Marvel Villains Hologram  
48,2012,2012 Rittenhouse Legends of Marvel: Ms. Marvel,  
49,2012,2012 Upper Deck Marvel Beginnings S2,Marvel Prime Micromotion  
50,2013,2013 Fleer Retro Marvel,1990 Marvel Universe Design  
51,2013,2013 Fleer Retro Marvel,1990 Marvel Universe Design Autographs  
52,2013,2013 Fleer Retro Marvel,1991 Marvel Universe Design  
53,2013,2013 Fleer Retro Marvel,1991 Marvel Universe Design Autographs  
54,2013,2013 Fleer Retro Marvel,1992 Marvel Universe Design  
55,2013,2013 Fleer Retro Marvel,1992 Marvel Universe Design Autographs  
