productId,name,imageUrl,price,platform
5077201,"Wolverine [Hologram] #MH4",,1582,"Marvel 1990 Universe"
8255318,"Spider-Man [Symbiote Black] #10",,395000,"Marvel 2024 Upper Deck Spider-Man Renditions"
5077198,"Cosmic Spider-Man [Hologram] #MH1",,1975,"Marvel 1990 Universe"
5095176,"Spider-Man [Printing Plate] #102",,0,"Marvel 2022 Ultra Avengers"
5077777,"Spider-Man vs. Venom #H-IV",,6196,"Marvel 1993 Universe"
5077196,"StanLee: Mr.Marvel #161",,850,"Marvel 1990 Universe"
5077582,"Venom #H-4",,625,"Marvel 1992 Universe"
8433962,"Wolverine [Toy Biz Promo]",,2000,"Marvel 1991 Universe"
5077035,"Spider-Man #2",,476,"Marvel 1990 Universe"
5077204,"Spider-Man #1",,460,"Marvel 1991 Universe"
5077063,"Spider-Man #30",,403,"Marvel 1990 Universe"
5077199,"Magneto [Hologram] #MH2",,1250,"Marvel 1990 Universe"
5077200,"Silver Surfer [Hologram] #MH3",,1337,"Marvel 1990 Universe"
5077202,"Spider-Man vs. Green Goblin [Hologram] #MH5",,1516,"Marvel 1990 Universe"
5077062,"Spider-Man #29",,377,"Marvel 1990 Universe"
8255193,"Spider-Man #1",,1086,"Marvel 2024 Upper Deck Spider-Man Renditions"
5077371,"Doctor Doom [Hologram] #H-4",,1100,"Marvel 1991 Universe"
5077034,"Captain America #1",,306,"Marvel 1990 Universe"
5077043,"Wolverine #10",,399,"Marvel 1990 Universe"
6781969,"Juggernaut [Toy Biz]",,203,"Marvel 1991 Universe"
5077584,"Spider-Man #1",,250,"Marvel 1992 Universe"
7096122,"Iron Man [Mirage] #1-A",,38500,"Marvel 1995 Masterpieces"
5077367,"Spider-Man [Hologram] #H-1",,1409,"Marvel 1991 Universe"
7984187,"Captain America [Superfractor] #92",,1010100,"Marvel 2024 Topps Chrome"
5078198,"Spider-Man #87",,458,"Marvel 1992 Masterpieces"
5157166,"Sealed Box",,59176,"Marvel 1990 Universe"
5077107,"Venom #73",,287,"Marvel 1990 Universe"
5078380,"Spider-man [Bronze Holofoil] #8",,15900,"Marvel 1994 Masterpieces"
5078304,"Deadpool #55",,572,"Marvel 1993 Masterpieces"
5077581,"Wolverine #H-3",,599,"Marvel 1992 Universe"
