card_sets_id,year,name,main_set_name,card_count
1498,2022,"marvel 2022 metal universe spider man","Marvel 2022 Metal Universe Spider Man ",201
1507,2022,"marvel 2022 metal universe spider man Orange","Marvel 2022 Metal Universe Spider Man ",200
1503,2022,"marvel 2022 metal universe spider man Green","Marvel 2022 Metal Universe Spider Man ",200
1515,2022,"marvel 2022 metal universe spider man Precious Metal Gems Green","Marvel 2022 Metal Universe Spider Man ",200
1502,2022,"marvel 2022 metal universe spider man Grandiose","Marvel 2022 Metal Universe Spider Man ",200
1509,2022,"marvel 2022 metal universe spider man Pink","Marvel 2022 Metal Universe Spider Man ",200
1501,2022,"marvel 2022 metal universe spider man Gold","Marvel 2022 Metal Universe Spider Man ",200
1506,2022,"marvel 2022 metal universe spider man Neon Blue","Marvel 2022 Metal Universe Spider Man ",200
1520,2022,"marvel 2022 metal universe spider man Turquoise","Marvel 2022 Metal Universe Spider Man ",200
1521,2022,"marvel 2022 metal universe spider man Yellow","Marvel 2022 Metal Universe Spider Man ",200
1517,2022,"marvel 2022 metal universe spider man Printing Plate","Marvel 2022 Metal Universe Spider Man ",200
1516,2022,"marvel 2022 metal universe spider man Precious Metal Gems Red","Marvel 2022 Metal Universe Spider Man ",200
1518,2022,"marvel 2022 metal universe spider man Purple","Marvel 2022 Metal Universe Spider Man ",200
1290,2008,"marvel 2008 masterpieces","Marvel 2008 Masterpieces ",180
1183,1994,"marvel 1994 ultra x men","Marvel 1994 Ultra X-Men ",155
1213,1995,"marvel 1995 ultra spider man","Marvel 1995 Ultra Spider Man ",151
1226,1995,"marvel 1995 ultra x men","Marvel 1995 Ultra X-Men ",150
1221,1995,"marvel 1995 ultra spider man premier","",148
1222,1995,"marvel 1995 ultra spider man premier Gold Foil Signature","Marvel 1995 Ultra Spider Man ",107
1227,1995,"marvel 1995 ultra x men all chromium","Marvel 1995 Ultra X-Men ",101
1151,1992,"marvel 1992 x men series 1","Marvel 1992 X-Men Series 1 ",100
1152,1992,"marvel 1992 x men series 1 Autograph","Marvel 1992 X-Men Series 1 ",100
1499,2022,"marvel 2022 metal universe spider man comic cuts","Marvel 2022 Metal Universe Spider Man ",100
1229,1995,"marvel 1995 ultra x men all chromium Gold Signature","Marvel 1995 Ultra X-Men ",99
1137,1992,"marvel 1992 comic images spider man II","Marvel 1992 Comic Images Spider Man",97
1136,1992,"marvel 1992 comic images spider man","Marvel 1992 Comic Images Spider Man",90
1692,2023,"marvel 2023 masterpieces preliminary art","Marvel 2022 Masterpieces ",90
1614,2022,"marvel 2022 wandavision Purple Spell","",90
1616,2022,"marvel 2022 wandavision White Vision","",90
1613,2022,"marvel 2022 wandavision Printing Plate","",90
1615,2022,"marvel 2022 wandavision Scarlet Red","",90
1693,2023,"marvel 2023 masterpieces preserved amber","Marvel 2022 Masterpieces ",90
1132,1992,"marvel 1992 comic images punisher guts & gunpowder","Marvel 1992 Comic Images Punisher Guts & Gunpowder ",90
1612,2022,"marvel 2022 wandavision Mind Stone Yellow","",90
1611,2022,"marvel 2022 wandavision Green Vision","",90
1139,1992,"marvel 1992 comic images wolverine from then 'til now II","Marvel 1992 Comic Images Wolverine: From then 'til now II ",90
1909,2024,"2024 MM XL Base","Marvel 2024 Skybox Masterpieces XL ",86
2245,2025,"Aura Check Card /75","2025 Kakawow Aura Marvel",83
1265,1997,"marvel 1997 premium x men 97 timelines","Marvel 1997 Premium X-Men 97 Timelines ",82
1373,2018,"marvel 2018 ultra x men","",81
1131,1992,"marvel 1992 comic images ghost rider II","Marvel 1992 Comic Images Ghost Rider II ",80
1375,2018,"marvel 2018 ultra x men Rainbow Foil","",75
1278,2000,"marvel 2000 topps x men the movie","Marvel 2000 Topps X-Men: The Movie ",73
1296,2009,"marvel 2009 rittenhouse spider man archives","Marvel 2009 Rittenhouse Spider Man Archives",73
1135,1992,"marvel 1992 comic images silver surfer","Marvel 1992 Comic Images Silver Surfer ",72
