Category,SetNumber/ID,Year,Name,MatchedWith,Similarity
EXACT_MATCH,CSV#42,2010,"2010 Rittenhouse 70 Years of Marvel Comics - Marvel Tribute","marvel 2010 rittenhouse 70 years of comics tribute (ID:1303)",100%
EXACT_MATCH,CSV#154,2024,"2024 Topps Chrome Marvel - Marvel 90s","marvel 2024 topps chrome 90s (ID:1933)",100%
EXACT_MATCH,CSV#156,2024,"2024 Topps Chrome Marvel - Marvel 90s Gold Refractor","marvel 2024 topps chrome 90s Gold Refractor (ID:1935)",100%
EXACT_MATCH,CSV#157,2024,"2024 Topps Chrome Marvel - Marvel 90s Orange Refractor","marvel 2024 topps chrome 90s Orange Refractor (ID:1936)",100%
EXACT_MATCH,CSV#158,2024,"2024 Topps Chrome Marvel - Marvel 90s Red Refractor","marvel 2024 topps chrome 90s Red Refractor (ID:1937)",100%
EXACT_MATCH,CSV#159,2024,"2024 Topps Chrome Marvel - Marvel 90s SuperFractor","marvel 2024 topps chrome 90s Superfractor (ID:1938)",100%
EXACT_MATCH,CSV#187,2024,"2024 Topps Chrome Marvel - Marvel Icons","marvel 2024 topps chrome icons (ID:2000)",100%
EXACT_MATCH,CSV#189,2024,"2024 Topps Chrome Marvel - Marvel Icons Gold Refractor","marvel 2024 topps chrome icons Gold Refractor (ID:2002)",100%
EXACT_MATCH,CSV#190,2024,"2024 Topps Chrome Marvel - Marvel Icons Orange Refractor","marvel 2024 topps chrome icons Orange Refractor (ID:2003)",100%
EXACT_MATCH,CSV#191,2024,"2024 Topps Chrome Marvel - Marvel Icons Red Refractor","marvel 2024 topps chrome icons Red Refractor (ID:2004)",100%
EXACT_MATCH,CSV#192,2024,"2024 Topps Chrome Marvel - Marvel Icons SuperFractor","marvel 2024 topps chrome icons Superfractor (ID:2005)",100%
EXACT_MATCH,CSV#250,2025,"2025 Topps Chrome Marvel - Air Marvel Shadowbox","Marvel 2025 Topps Chrome Air Marvel Shadowbox (ID:2223)",100%
EXACT_MATCH,CSV#252,2025,"2025 Topps Chrome Marvel - Marvel Anniversaries","Marvel 2025 Topps Chrome Anniversaries (ID:2214)",100%
EXACT_MATCH,CSV#285,2025,"2025 Topps Chrome Marvel - Marvel Icons","Marvel 2025 Topps Chrome Icons (ID:2211)",100%
EXACT_MATCH,CSV#291,2025,"2025 Topps Chrome Marvel - Marvel Reflections","Marvel 2025 Topps Chrome Reflections (ID:2212)",100%
EXACT_MATCH,CSV#302,2025,"2025 Topps Chrome Marvel Studios - Marvel Gods","Marvel 2025 Topps Chrome Studios Gods (ID:2227)",100%
EXACT_MATCH,CSV#396,1992,"1992 SkyBox Marvel Masterpieces","1992 SkyBox Marvel Masterpieces (ID:1)",100%
EXACT_MATCH,CSV#411,1993,"1993 SkyBox Marvel Masterpieces","1993 SkyBox Marvel Masterpieces (ID:2)",100%
EXACT_MATCH,CSV#420,1994,"1994 Fleer Marvel Masterpieces Hildebrandt Brothers","1994 Fleer Marvel Masterpieces Hildebrandt Brothers (ID:3)",100%
EXACT_MATCH,CSV#457,1995,"1995 Fleer Marvel Masterpieces","1995 Fleer Marvel Masterpieces (ID:4)",100%
EXACT_MATCH,CSV#467,1995,"1995 Metal Marvel","marvel 1995 metal (ID:1209)",100%
EXACT_MATCH,CSV#472,1995,"1995 Metal Marvel - Silver Flasher","marvel 1995 metal Silver Flasher (ID:1212)",100%
EXACT_MATCH,CSV#547,2001,"2001 Topps Marvel Legends","marvel 2001 topps legends (ID:1281)",100%
EXACT_MATCH,CSV#549,2001,"2001 Topps Marvel Legends - Foil","marvel 2001 topps legends Foil (ID:1282)",100%
EXACT_MATCH,CSV#607,2010,"2010 Rittenhouse 70 Years of Marvel Comics","marvel 2010 rittenhouse 70 years of comics (ID:1298)",100%
EXACT_MATCH,CSV#613,2010,"2010 Rittenhouse 70 Years of Marvel Comics - Sketch","marvel 2010 rittenhouse 70 years of comics sketch (ID:1301)",100%
EXACT_MATCH,CSV#722,2013,"2013 Fleer Retro Marvel","marvel 2013 fleer retro (ID:1306)",100%
EXACT_MATCH,CSV#727,2013,"2013 Fleer Retro Marvel - Metal","marvel 2013 fleer retro metal (ID:1308)",100%
EXACT_MATCH,CSV#728,2013,"2013 Fleer Retro Marvel - Metal Hardware","marvel 2013 fleer retro metal hardware (ID:1311)",100%
EXACT_MATCH,CSV#731,2013,"2013 Fleer Retro Marvel - Precious Metal Gems Blue","marvel 2013 fleer retro metal Blue Precious Metal Gems (ID:1309)",100%
EXACT_MATCH,CSV#732,2013,"2013 Fleer Retro Marvel - Precious Metal Gems Green","marvel 2013 fleer retro metal Green Precious Metal Gems (ID:1310)",100%
EXACT_MATCH,CSV#733,2013,"2013 Fleer Retro Marvel - Precious Metal Gems Red","marvel 2013 fleer retro metal Red Precious Metal Gems (ID:1312)",100%
EXACT_MATCH,CSV#851,2015,"2015 Fleer Retro Marvel","marvel 2015 fleer retro (ID:1313)",100%
EXACT_MATCH,CSV#885,2015,"2015 Fleer Retro Marvel - Jambalaya","marvel 2015 fleer retro Jambalaya (ID:1317)",100%
EXACT_MATCH,CSV#969,2015,"2015 Upper Deck Marvel Vibranium","marvel 2015 upper deck vibranium (ID:1322)",100%
EXACT_MATCH,CSV#970,2015,"2015 Upper Deck Marvel Vibranium - Bar","marvel 2015 upper deck vibranium Bar (ID:1323)",100%
EXACT_MATCH,CSV#985,2015,"2015 Upper Deck Marvel Vibranium - Molten","marvel 2015 upper deck vibranium Molten (ID:1324)",100%
EXACT_MATCH,CSV#991,2015,"2015 Upper Deck Marvel Vibranium - Radiance","marvel 2015 upper deck vibranium Radiance (ID:1325)",100%
EXACT_MATCH,CSV#992,2015,"2015 Upper Deck Marvel Vibranium - Raw","marvel 2015 upper deck vibranium Raw (ID:1326)",100%
EXACT_MATCH,CSV#993,2015,"2015 Upper Deck Marvel Vibranium - Refined","marvel 2015 upper deck vibranium Refined (ID:1327)",100%
EXACT_MATCH,CSV#1822,2020,"2020 Upper Deck Marvel Ages","Marvel 2020 Upper Deck Ages (ID:2182)",100%
EXACT_MATCH,CSV#1826,2020,"2020 Upper Deck Marvel Ages - Comic Clippings","Marvel 2020 Upper Deck Ages Comic Clippings (ID:2181)",100%
EXACT_MATCH,CSV#1828,2020,"2020 Upper Deck Marvel Ages - Comic Clippings Coinage","Marvel 2020 Upper Deck Ages Comic Clippings Coinage (ID:2191)",100%
EXACT_MATCH,CSV#1829,2020,"2020 Upper Deck Marvel Ages - Decades 1960s","Marvel 2020 Upper Deck Ages Decades 1960s (ID:2189)",100%
EXACT_MATCH,CSV#1830,2020,"2020 Upper Deck Marvel Ages - Decades 1970s","Marvel 2020 Upper Deck Ages Decades 1970s (ID:2188)",100%
EXACT_MATCH,CSV#1831,2020,"2020 Upper Deck Marvel Ages - Decades 1980s","Marvel 2020 Upper Deck Ages Decades 1980s (ID:2190)",100%
