Main Set Folder,Subset Folder,Card Number Folder,Image Count,Reason,Closest DB Candidates (suggestions only)
2025 Kakawow Aura Marvel,2025 Kakawow Aura Marvel - Major Events Green,AM-MIGR-O6,2,"Set matched, but card number not found in that set (check O vs 0 typos)",
2025 Kakawow Cosmos Marvel Rivals,2025 Kakawow Phantom Marvel Rivals - Autograph,PMR-AA-01,2,Main set folder does not match any main set in the database,main set: 2025 Kakawow Cosmos Marvel (80% similar) | main set: 2025 Kakawow Phantom Marvel Rivals (80% similar) | main set: 2025 Kakawow Aura Marvel (60% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Autograph (100% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Black (83% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Blue (83% similar)
2025 Kakawow Cosmos Marvel Rivals,2025 Kakawow Phantom Marvel Rivals - Autograph,PMR-AA-O3,2,Main set folder does not match any main set in the database,main set: 2025 Kakawow Cosmos Marvel (80% similar) | main set: 2025 Kakawow Phantom Marvel Rivals (80% similar) | main set: 2025 Kakawow Aura Marvel (60% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Autograph (100% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Black (83% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Blue (83% similar)
2025 Kakawow Cosmos Marvel Rivals,2025 Kakawow Phantom Marvel Rivals - Autograph,PMR-AA-O4,2,Main set folder does not match any main set in the database,main set: 2025 Kakawow Cosmos Marvel (80% similar) | main set: 2025 Kakawow Phantom Marvel Rivals (80% similar) | main set: 2025 Kakawow Aura Marvel (60% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Autograph (100% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Black (83% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Blue (83% similar)
2025 Kakawow Cosmos Marvel Rivals,2025 Kakawow Phantom Marvel Rivals - First Anniversary Gold,PMR-FAG-O1,2,Main set folder does not match any main set in the database,main set: 2025 Kakawow Cosmos Marvel (80% similar) | main set: 2025 Kakawow Phantom Marvel Rivals (80% similar) | main set: 2025 Kakawow Aura Marvel (60% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - First Anniversary Gold (100% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - First Anniversary Black (88% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - First Anniversary White (88% similar)
2025 Kakawow Cosmos Marvel Rivals,2025 Kakawow Phantom Marvel Rivals - Lightning,PMR-IS-01,2,Main set folder does not match any main set in the database,main set: 2025 Kakawow Cosmos Marvel (80% similar) | main set: 2025 Kakawow Phantom Marvel Rivals (80% similar) | main set: 2025 Kakawow Aura Marvel (60% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Lightning (100% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Lightning (86% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Autograph (83% similar)
2025 Kakawow Cosmos Marvel Rivals,2025 Kakawow Phantom Marvel Rivals - Orange,PMR-IO-01,2,Main set folder does not match any main set in the database,main set: 2025 Kakawow Cosmos Marvel (80% similar) | main set: 2025 Kakawow Phantom Marvel Rivals (80% similar) | main set: 2025 Kakawow Aura Marvel (60% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Orange (100% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange (86% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Autograph (83% similar)
2025 Kakawow Cosmos Marvel Rivals,2025 Kakawow Phantom Marvel Rivals - Orange,PMR-IO-06,2,Main set folder does not match any main set in the database,main set: 2025 Kakawow Cosmos Marvel (80% similar) | main set: 2025 Kakawow Phantom Marvel Rivals (80% similar) | main set: 2025 Kakawow Aura Marvel (60% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Orange (100% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange (86% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Autograph (83% similar)
2025 Kakawow Cosmos Marvel Rivals,2025 Kakawow Phantom Marvel Rivals - Orange,PMR-IO-08,2,Main set folder does not match any main set in the database,main set: 2025 Kakawow Cosmos Marvel (80% similar) | main set: 2025 Kakawow Phantom Marvel Rivals (80% similar) | main set: 2025 Kakawow Aura Marvel (60% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Orange (100% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange (86% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Autograph (83% similar)
2025 Kakawow Cosmos Marvel Rivals,2025 Kakawow Phantom Marvel Rivals - Orange,PMR-IO-11,2,Main set folder does not match any main set in the database,main set: 2025 Kakawow Cosmos Marvel (80% similar) | main set: 2025 Kakawow Phantom Marvel Rivals (80% similar) | main set: 2025 Kakawow Aura Marvel (60% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Orange (100% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange (86% similar) | set (any main set): 2025 Kakawow Phantom Marvel Rivals - Autograph (83% similar)
