Folder Path,Image 1,Image 2,Sort Order,Proposed Front,Proposed Back,Proposal Basis
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - Green / AM-IGR-44,AM-IGR-44 FRONT.webp,AM-IGR-44.webp,alphabetical (numeric-aware),AM-IGR-44 FRONT.webp,AM-IGR-44.webp,"""AM-IGR-44 FRONT.webp"" is marked front"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - Green / AM-IGR-64,AM-IGR-64 FRONT.webp,AM-IGR-64.webp,alphabetical (numeric-aware),AM-IGR-64 FRONT.webp,AM-IGR-64.webp,"""AM-IGR-64 FRONT.webp"" is marked front"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - Marvel Iconic Debut / AM-CB-09,AM-CB-09 FRONT.webp,AM-CB-09.webp,alphabetical (numeric-aware),AM-CB-09 FRONT.webp,AM-CB-09.webp,"""AM-CB-09 FRONT.webp"" is marked front"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - Marvel Iconic Debut / AM-CB-10,AM-CB-10 BACL.webp,AM-CB-10 FRONT.webp,alphabetical (numeric-aware),AM-CB-10 FRONT.webp,AM-CB-10 BACL.webp,"""AM-CB-10 FRONT.webp"" is marked front"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - Script Art Single Blue / AM-PIBL-20,AM-PIBL-20 FRONT.webp,AM-PIBL-20.webp,alphabetical (numeric-aware),AM-PIBL-20 FRONT.webp,AM-PIBL-20.webp,"""AM-PIBL-20 FRONT.webp"" is marked front"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - Silver / AM-I-07,AM-I-07 FRONT.webp,AM-I-07.webp,alphabetical (numeric-aware),AM-I-07 FRONT.webp,AM-I-07.webp,"""AM-I-07 FRONT.webp"" is marked front"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - Silver / AM-I-43,AM-I-43 FRONT.webp,AM-I-43.webp,alphabetical (numeric-aware),AM-I-43 FRONT.webp,AM-I-43.webp,"""AM-I-43 FRONT.webp"" is marked front"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - The Legend of Iron Man Blue / AM-IIBL-02,AM-IIBL-02 FRONT.webp,AM-IIBL-02.webp,alphabetical (numeric-aware),AM-IIBL-02 FRONT.webp,AM-IIBL-02.webp,"""AM-IIBL-02 FRONT.webp"" is marked front"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - The Legend of Iron Man Green / AM-IIGR-03,AM-IIGR-03 FRONT.webp,AM-IIGR-03.webp,alphabetical (numeric-aware),AM-IIGR-03 FRONT.webp,AM-IIGR-03.webp,"""AM-IIGR-03 FRONT.webp"" is marked front"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - The Legend of Iron Man Silver / AM-II-10,AM-II-10 BACK.webp,AM-II-10.webp,alphabetical (numeric-aware),AM-II-10.webp,AM-II-10 BACK.webp,"""AM-II-10 BACK.webp"" is marked back"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - The Legend of Spider-Man Gold / AM-ZIG-03,AM-ZIG-03 FRONT.webp,AM-ZIG-03.webp,alphabetical (numeric-aware),AM-ZIG-03 FRONT.webp,AM-ZIG-03.webp,"""AM-ZIG-03 FRONT.webp"" is marked front"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - The Legend of Spider-Man Green / AM-ZIGR-06,AM-ZIGR-06 BACK.webp,AM-ZIGR-06 FRONJT.webp,alphabetical (numeric-aware),AM-ZIGR-06 FRONJT.webp,AM-ZIGR-06 BACK.webp,"""AM-ZIGR-06 BACK.webp"" is marked back"
2025 Kakawow Aura Marvel / 2025 Kakawow Aura Marvel - Villains of Marvel Orange / AM-VIO-04,AM-VIO-04 BACCK.webp,AM-VIO-04 FRONT.webp,alphabetical (numeric-aware),AM-VIO-04 FRONT.webp,AM-VIO-04 BACCK.webp,"""AM-VIO-04 FRONT.webp"" is marked front"
