main_set,subset,subset_id,card_number,copies,card_names,card_ids
1990 Impel Marvel Universe,1990 Impel Marvel Universe - 1990 Impel Marvel Universe,2614,39,2,She-Hulk | Tales of Suspense,"15602, 15603"
1990 Impel Marvel Universe,1990 Impel Marvel Universe - 1990 Impel Marvel Universe,2614,4,2,Avengers | Daredevil,"15604, 15605"
1991 Impel Marvel Universe II,1991 Impel Marvel Universe II - Holograms,2623,H-5,2,Fantastic Four / Mole Man | Fantastic Four vs Mole Man,"15939, 15940"
1992 SkyBox Marvel Masterpieces,1992 SkyBox Marvel Masterpieces - Joe Jusko Signed Parallel,2642,100,2,Checklist | Checklist CL,"16582, 183669"
1993 SkyBox Marvel Masterpieces,1993 SkyBox Marvel Masterpieces - Base,6972,32,2,U.S. AGENT | U.S.Agent,"17143, 17144"
1993 SkyBox Marvel Universe,1993 SkyBox Marvel Universe - 1993 SkyBox Marvel Universe,2656,1,2,Doom 2099 | Hulk,"17217, 17218"
1993 SkyBox Marvel Universe,1993 SkyBox Marvel Universe - 1993 SkyBox Marvel Universe,2656,2,2,Moon Knight | Vulture 2099,"17310, 17311"
1993 SkyBox Marvel Universe,1993 SkyBox Marvel Universe - 1993 SkyBox Marvel Universe,2656,3,2,Ravage 2099 | Siege,"17322, 17323"
1993 SkyBox Marvel Universe,1993 SkyBox Marvel Universe - 1993 SkyBox Marvel Universe,2656,4,2,Deadzone | Fearmaster 2099,"17334, 17335"
1993 SkyBox Marvel Universe,1993 SkyBox Marvel Universe - 1993 SkyBox Marvel Universe,2656,5,2,Spider-Man 2099 | Wild Pack,"17346, 17347"
1993 SkyBox Marvel Universe,1993 SkyBox Marvel Universe - 1993 SkyBox Marvel Universe,2656,6,2,Punisher 2099 | Silver Sable,"17358, 17359"
1993 SkyBox Marvel Universe,1993 SkyBox Marvel Universe - 1993 SkyBox Marvel Universe,2656,7,2,Doc Samson | Specialist 2099,"17370, 17371"
1993 SkyBox Marvel Universe,1993 SkyBox Marvel Universe - 1993 SkyBox Marvel Universe,2656,8,2,Deathlok | Dethstryk 2099,"17382, 17383"
1993 SkyBox Marvel Universe,1993 SkyBox Marvel Universe - 1993 SkyBox Marvel Universe,2656,9,2,Moses Magnum | Tiger Wylde 2099,"17394, 17395"
1994 Flair Marvel Annual,1994 Flair Marvel Annual - 1994 Flair Marvel Annual,2661,8,2,Iron Man | Vulture VS Spider-Man,"17632, 17633"
1994 Flair Marvel Annual,1994 Flair Marvel Annual - Flair Marvel Universe PowerBlast,2280,2,2,Cyclops | Punisher,"17681, 17682"
1994 Flair Marvel Annual,1994 Flair Marvel Annual - Flair Marvel Universe PowerBlast,2280,6,2,Spider-Man | Storm,"17686, 17687"
