new_subset_name,main_set,source_insert_subset,variant,card_count,card_ids_sample,already_exists,action
2025 Topps Chrome Marvel - Marvel Anniversaries Orange Refractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Marvel Anniversaries,Orange Refractor,29,78901 78911 79039 78926 78933,no,create_then_move
2025 Topps Chrome Marvel - Marvel Anniversaries SuperFractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Marvel Anniversaries,SuperFractor,29,78914 78920 78921 78929 78943,yes,move_cards_to_existing
2025 Topps Chrome Marvel Studios - TVA Pruning Black,2025 Topps Chrome Marvel Studios,2025 Topps Chrome Marvel Studios - TVA Pruning,Black,23,81241 81301 81269 81274 81277,no,create_then_move
2025 Topps Chrome Marvel Studios - TVA Pruning Red,2025 Topps Chrome Marvel Studios,2025 Topps Chrome Marvel Studios - TVA Pruning,Red,23,81243 81202 81271 81272 81279,no,create_then_move
2025 Topps Finest X-Men '97 - Greatest Hits SuperFractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Greatest Hits,SuperFractor,20,81813 81889 81894 81893 81895,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Greatest Hits X-Fractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Greatest Hits,X-Fractor,20,81814 81877 81882 81795 81897,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Greatest Hits Orange Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Greatest Hits,Orange Refractor,20,81815 81878 81883 81890 81898,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Greatest Hits Laser Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Greatest Hits,Laser Refractor,20,81816 81879 81885 81891 81899,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Greatest Hits Gold Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Greatest Hits,Gold Refractor,20,81817 81880 81886 81727 81900,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Greatest Hits Red Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Greatest Hits,Red Refractor,20,81818 81881 81887 81724 81742,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Sentinels’ Scan Orange Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Sentinels’ Scan,Orange Refractor,20,81629 81646 82110 81634 82114,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Sentinels’ Scan Gold Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Sentinels’ Scan,Gold Refractor,20,81640 81635 82106 82112 82115,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Sentinels’ Scan SuperFractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Sentinels’ Scan,SuperFractor,20,82053 82104 82108 82109 82117,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Sentinels’ Scan X-Fractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Sentinels’ Scan,X-Fractor,20,82054 81631 82105 82111 81625,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Sentinels’ Scan Red Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Sentinels’ Scan,Red Refractor,20,82056 82107 82133 82113 82116,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Children of the Atom SuperFractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Children of the Atom,SuperFractor,19,81774 81697 81788 81784 81785,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Previously on X-Men SuperFractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Previously on X-Men,SuperFractor,19,81919 82002 81961 82008 82017,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Previously on X-Men X-Fractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Previously on X-Men,X-Fractor,19,81921 81609 82024 81962 82009,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Previously on X-Men Orange Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Previously on X-Men,Orange Refractor,19,81923 81957 81963 82013 82010,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Previously on X-Men Gold Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Previously on X-Men,Gold Refractor,19,81925 81959 82007 81601 82012,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Previously on X-Men Red Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Previously on X-Men,Red Refractor,19,81926 81599 81965 82015 82014,yes,move_cards_to_existing
2025 Topps Finest X-Men '97 - Previously on X-Men Laser Refractor,2025 Topps Finest X-Men '97,2025 Topps Finest X-Men '97 - Previously on X-Men,Laser Refractor,19,81966 81958 82006 81914 82011,yes,move_cards_to_existing
2024 Upper Deck Women of Marvel - Battle Time Foil Lt Fx Purple,2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,Foil Lt Fx Purple,11,78347 78340 78343 78333 78356,yes,move_cards_to_existing
2024 Upper Deck Women of Marvel - Battle Time Foil Lt Fx Copper,2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,Foil Lt Fx Copper,10,78348 78326 78344 78334 78357,yes,move_cards_to_existing
2024 Upper Deck Women of Marvel - Battle Time Foil Lt Fx Gold,2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,Foil Lt Fx Gold,10,78350 78328 78346 78337 78359,yes,move_cards_to_existing
2024 Upper Deck Women of Marvel - Battle Time Foil Lt Fx Blue,2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,Foil Lt Fx Blue,10,78351 78329 78331 78336 78360,yes,move_cards_to_existing
2025 Topps Chrome Marvel - Air Marvel Shadowbox SuperFractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Air Marvel Shadowbox,SuperFractor,10,78829 78834 78832 78828 78845,no,create_then_move
2025 Topps Chrome Marvel - Galactic Legends Refractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Galactic Legends,Refractor,10,79283 79272 79275 79280 79281,yes,move_cards_to_existing
2025 Topps Chrome Marvel - Galactic Legends SuperFractor,2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Galactic Legends,SuperFractor,10,79305 79301 79308 79290 79289,yes,move_cards_to_existing
