rank,main_set,subset,set_id,duplicate_groups,cards_involved,sample_card_numbers
1,2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,4135,100,200,1 10 100 11 12 13 14 15 16 17
2,2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - Precious Metal Gems Red,4193,100,200,1 10 100 11 12 13 14 15 16 17
3,2024 Upper Deck Marvel Masterpieces '92 Platinum,2024 Upper Deck Marvel Masterpieces '92 Platinum - Lenticular,6031,100,200,1 10 100 11 12 13 14 15 16 17
4,2023-24 Upper Deck Marvel Annual,2023-24 Upper Deck Marvel Annual - Crystal Clear,5508,99,198,1 10 100 11 12 13 14 16 17 18
5,2008 Upper Deck Marvel Masterpieces Set 2,2008 Upper Deck Marvel Masterpieces Set 2 - 2008 Upper Deck Marvel Masterpieces Set 2,2834,90,180,1 10 11 12 13 14 15 16 17 18
6,2024 Upper Deck Marvel Spider-Man Renditions,2024 Upper Deck Marvel Spider-Man Renditions - Marvel Universe Impel Artist Autographs,2454,81,162,1 10 100 11 12 13 14 15 16 17
7,1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,79,160,10 18 11 13 14 15 16 17 19 2
8,2024 Upper Deck Marvel Spider-Man Renditions,2024 Upper Deck Marvel Spider-Man Renditions - Artist Autographs,6127,77,154,10 11 12 13 15 17 2 20 21 24
9,2024 SkyBox Metal Universe Marvel Avengers,2024 SkyBox Metal Universe Marvel Avengers - Comic Cuts,5663,64,128,CC-AV1 CC-AV10 CC-AV11 CC-AV12 CC-AV13 CC-AV14 CC-AV15 CC-AV16 CC-AV17 CC-AV18
10,2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Marvel Value Stamps Relics,2381,50,100,VS-1 VS-10 VS-11 VS-12 VS-13 VS-14 VS-15 VS-16 VS-17 VS-18
11,2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Black Diamond Cosmic Stone Relics,6852,49,98,BD1 BD10 BD11 BD12 BD13 BD14 BD15 BD16 BD17 BD18
12,2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Black Diamond Stone Relics,6858,49,98,BD1 BD10 BD11 BD12 BD13 BD14 BD15 BD16 BD17 BD18
13,2015 Fleer Retro Marvel,2015 Fleer Retro Marvel - Autographs,3122,30,60,15 17 18 19 2 23 25 28 29 31
14,2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - Comic Cuts Autographed Masterworks,4177,25,50,CCA-GCSM111 CCA-GCSM113 CCA-GCSM114 CCA-GCSM119 CCA-GCSM120 CCA-GCSM121 CCA-GCSM122 CCA-GCSM123 CCA-GCSM124 CCA-GCSM125
15,2024 Upper Deck Marvel Avengers,2024 Upper Deck Marvel Avengers - Battle Time,5826,25,50,BT-1 BT-10 BT-11 BT-12 BT-13 BT-14 BT-15 BT-16 BT-17 BT-18
16,2023 Upper Deck Marvel Anime Vol. 2,2023 Upper Deck Marvel Anime Vol. 2 - Woodblock Echo,5022,21,42,WH-42 WH-43 WH-44 WH-45 WH-46 WH-47 WH-48 WH-50 WH-51 WH-52
17,2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - UD Canvas,6182,21,42,C13 C36 C37 C38 C39 C40 C41 C42 C43 C44
18,2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - UD Canvas Black and White,6183,21,42,C13 C36 C37 C38 C39 C40 C41 C42 C43 C44
19,2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - Splash-ticular 3D,4164,20,40,S1 S10 S11 S12 S13 S14 S15 S16 S17 S18
20,2021-22 Upper Deck Marvel Annual,2021-22 Upper Deck Marvel Annual - Splash-ticular,4326,20,40,N1S-1 N1S-10 N1S-11 N1S-12 N1S-13 N1S-14 N1S-15 N1S-16 N1S-17 N1S-18
21,2022-23 Upper Deck Marvel Annual,2022-23 Upper Deck Marvel Annual - Multiple Dimensions Lenticulars,4556,20,40,MD1 MD10 MD11 MD12 MD13 MD14 MD15 MD16 MD17 MD18
22,2023 Flair Marvel,2023 Flair Marvel - Solar Flair,4678,20,40,SF21 SF22 SF23 SF24 SF25 SF26 SF27 SF28 SF29 SF30
23,2023 Fleer Ultra Marvel Wolverine,2023 Fleer Ultra Marvel Wolverine - Pop Culture,4814,20,40,PC-21 PC-22 PC-23 PC-24 PC-25 PC-26 PC-27 PC-28 PC-33 PC-34
24,1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,19,39,8 1 10 11 12 13 14 15 16 17
25,1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,19,39,8 1 10 11 12 13 14 15 16 17
26,2023 Upper Deck Marvel Anime Vol. 2,2023 Upper Deck Marvel Anime Vol. 2 - Hanafuda,5006,19,38,H-32 H-33 H-34 H-35 H-36 H-37 H-38 H-39 H-40 H-41
27,2016 Upper Deck Marvel Masterpieces,2016 Upper Deck Marvel Masterpieces - Battle Spectra,3381,16,35,BS-11 BS-5 BS-9 BS-1 BS-10 BS-12 BS-13 BS-14 BS-15 BS-16
