main_set,subset,year,card_number,card_name
1994 Ultra X-Men,1994 Ultra X Men,1994,127,Cable vs. Deadpool
1994 Ultra X-Men,1994 Ultra X Men,1994,128,Cable vs. Stryfe
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,17,Captain Marvel
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,26,Falcon
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,29,Green Goblin
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,67,Jackal
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,79,Shriek
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,88,Superior Spider-Man
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,94,Vision
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,98,Wilson Fisk
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,122,Doctor Octopus
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,129,Green Goblin
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,140,Jessica Jones
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,148,Maria Hill
2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,2021,153,Mister Sinister
