year,set_name,cards_missing_images,set_adds_last_90_days,set_adds_all_time,set_unique_collectors,set_wishlist_adds
1994,1994 Ultra X Men,2,1468,2349,41,0
2021,2021 SkyBox Metal Universe Marvel Spider-Man - 2021 SkyBox Metal Universe Marvel Spider-Man,15,440,450,8,4
1992,1992 Impel The Uncanny X-Men - 1992 Impel The Uncanny X-Men,1,333,342,5,0
1994,1994 Flair Marvel Annual - 1994 Flair Marvel Annual,3,329,748,26,0
2026,Aqua Refractor,197,215,215,12,0
2026,Fanfare,37,202,202,41,0
1994,1994 Fleer Marvel Masterpieces Hildebrandt Brothers - Gold Foil Signature,13,187,401,24,1
2024,2024 Upper Deck Marvel Spider-Man Renditions - 2024 Upper Deck Marvel Spider-Man Renditions,1,184,470,9,0
1991,1991 Comic Images X-Men - 1991 Comic Images X-Men,90,179,179,3,0
2024,2024 Upper Deck Marvel Avengers - 2024 Upper Deck Marvel Avengers,1,153,174,5,2
1995,1995 Ultra X-Men Chromium - Gold Signature,1,151,156,9,0
2026,Refractor,199,125,125,15,0
2026,RayWave Refractor,196,123,123,14,0
2022,2022 Fleer Ultra Marvel Avengers - Green Foil,28,121,123,5,0
2023,2023 Upper Deck Marvel Platinum - Rainbow Color Wheel,88,114,114,1,0
2022,2022 SkyBox Marvel Masterpieces - Gold Foil,2,105,195,4,0
2023,2023 Fleer Ultra Marvel Wolverine - Green Foil,12,101,101,2,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Blue Cosmic Cube,100,100,100,1,0
1996,1996 Ultra X-Men Wolverine - 1996 Ultra X-Men Wolverine,100,100,100,1,0
2026,Meanwhile …,14,97,97,25,0
2026,Marvel icons,13,95,95,32,0
1992,1992 Punisher Guts & Gunpowder Comic Images,89,93,93,2,0
2018,2018 Upper Deck Marvel Masterpieces - What If,12,90,90,1,0
2014,2014 Rittenhouse Marvel: Dangerous Divas 2 - 2014 Rittenhouse Marvel: Dangerous Divas 2,3,90,90,1,1
2026,Future Stars,15,89,89,29,0
2024,2024 Upper Deck Marvel Spider-Man - 2024 Upper Deck Marvel Spider-Man,1,74,74,1,0
2026,One World Under Doom,17,71,71,19,1
2026,X-Force 35th Anniversary,1,68,68,18,0
2025,2025 Kakawow Cosmos Marvel - Silver,99,64,64,1,0
1984,1984 FTCC Marvel Superheroes First Issue Covers - 1984 FTCC Marvel Superheroes First Issue Covers,40,60,120,2,2
2025,2025 Kakawow Cosmos Marvel - Art Card,4,60,62,5,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Copper FX,3,59,62,7,0
2025,2025 Topps Chrome Marvel - 2025 Topps Chrome Marvel,110,56,182,9,2
2024,2024 Upper Deck Marvel Avengers - Battle Time,25,52,59,5,0
2020,2020 Panini Marvel 80 Years Stickers - 2020 Panini Marvel 80 Years Stickers,50,50,50,1,0
