rank,main_set,subset,set_id,pair_count,sample_pairs
1,2025 Topps Chrome Marvel Studios,2025 Topps Chrome Marvel Studios - Sketch Artists,6644,321,"#1: id80626:""Gabriel Tardivo"" vs id80965:""Gabriel Tardivo [Silver]"" || #1: id80704:""Greg Treize [Silver]"" vs id80710:""Greg Treize"""
2,2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,4135,100,"#1: id26845:""Captain America"" vs id217578:""Captain AmericaT4"" || #10: id26846:""Cable"" vs id217587:""CableT1"""
3,2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Clippings,4363,100,"#CC-AA10: id36700:""Avengers Annual"" vs id226021:""Avengers Annual (1967) #10"" || #CC-AVG1: id36701:""Avengers"" vs id225946:""Avengers (1963) #1"""
4,2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Comic Covers,4367,100,"#A-1: id36800:""Avengers"" vs id226146:""Avengers (1963) #1"" || #A-100: id36801:""Avengers"" vs id226234:""Avengers (1963) #100"""
5,2024 Upper Deck Marvel Masterpieces '92 Platinum,2024 Upper Deck Marvel Masterpieces '92 Platinum - Lenticular,6031,100,"#1: id56499:""Blob"" vs id306416:""BlobLEN"" || #10: id56500:""Adam Warlock"" vs id306425:""Adam WarlockLEN"""
6,2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - Precious Metal Gems Red,4193,99,"#1: id34493:""Agent Venom"" vs id220562:""Agent VenomPR90,"" || #10: id34494:""Black Cat"" vs id220571:""Black CatPR90,"""
7,2023-24 Upper Deck Marvel Annual,2023-24 Upper Deck Marvel Annual - Crystal Clear,5508,98,"#1: id47046:""Abigail Brand"" vs id285592:""Abigail BrandPR25"" || #10: id47047:""Chasm"" vs id285601:""ChasmPR25"""
8,2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - Comic Cuts Clippings,4178,97,"#CC-ASM1: id32837:""Amazing Spider-Man"" vs id219686:""Amazing Spider-Man #1"" || #CC-ASM100: id32838:""Amazing Spider-Man"" vs id219737:""Amazing Spider-Man #100"""
9,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97,2120,67,"#1: id69954:""Professor X"" vs id81594:""Professor X [Laser Refractor]"" || #1: id69954:""Professor X"" vs id81453:""Professor X [Gold Refractor]"""
10,2023 Fleer Ultra Marvel Wolverine,2023 Fleer Ultra Marvel Wolverine - Comic Cuts,4786,63,"#CC-CAA8: id41842:""Captain America Annual"" vs id244283:""Captain America Annual (1971) #8"" || #CC-DOW2: id41843:""Death of Wolverine"" vs id244284:""Death of Wolverine (2014) #2"""
11,2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,6147,51,"#100: id68195:""Chris Pratt as Star-Lord"" vs id80209:""Chris Pratt as Star-Lord [Printing Plate]"" || #101: id77359:""Elizabeth Olsen as Scarlet Witch"" vs id80204:""Elizabeth Olsen as Scarlet Witch [Printing Plate]"""
12,2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Marvel Value Stamps Relics,2381,50,"#VS-1: id38258:""Ant-Man"" vs id180727:""Ant-ManMEM,"" || #VS-10: id38259:""Daredevil"" vs id180736:""DaredevilMEM,"""
13,2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Black Diamond Cosmic Stone Relics,6852,47,"#BD1: id54318:""T'Challa Star-Lord"" vs id335384:""T'Challa Star-Lord GEM,"" || #BD10: id54319:""Post-Apocalyptic Black Widow"" vs id335393:""Post-Apocalyptic Black Widow GEM,"""
14,2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Black Diamond Stone Relics,6858,47,"#BD1: id54416:""T'Challa Star-Lord"" vs id335684:""T'Challa Star-Lord GEM,"" || #BD10: id54417:""Post-Apocalyptic Black Widow"" vs id335693:""Post-Apocalyptic Black Widow GEM,"""
15,Marvel 1995 Fleer Overpower ,1995 Fleer Marvel Overpower,1201,43,"#0: id18906:""Spider-Woman"" vs id18914:""Spider-Woman: Web Lines"" || #0: id19037:""Venom: Creepy Crawler"" vs id19100:""Venom"""
16,Marvel 1995 Fleer Overpower ,Marvel 1995 Fleer Overpower  - Marvel 1995 Fleer Overpower ,12167,43,"#0: id529594:""Bishop"" vs id529595:""Bishop: Absorb Energy"" || #0: id529594:""Bishop"" vs id529869:""Bishop: Draw Enemy Fire"""
17,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome,2206,42,"#1: id78380:""Iron Man"" vs id78454:""Iron Man [Web]"" || #1: id78380:""Iron Man"" vs id78425:""Iron Man [Orange Lava]"""
18,2023 Fleer Ultra Marvel Wolverine,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers,4785,36,"#CCC-1: id41806:""Alpha Flight"" vs id244247:""Alpha Flight (1983) #17"" || #CCC-10: id41807:""Marvel Comics Presents"" vs id244256:""Marvel Comics Presents (1988) #76"""
19,2023 Upper Deck Marvel Wandavision,2023 Upper Deck Marvel Wandavision - 2023 Upper Deck Marvel Wandavision,5421,35,"#1: id39576:""A Regular Husband and Wife"" vs id76306:""A Regular Husband and Wife [Gold]"" || #1: id39576:""A Regular Husband and Wife"" vs id76399:""A Regular Husband and Wife [Mind Stone Yellow]"""
20,2025 Topps Chrome Marvel Studios,2025 Topps Chrome Marvel Studios - The Snap Variations,6646,33,"#1: id81038:""Iron Man #S-1"" vs id328376:""Iron Man"" || #10: id81136:""Thor #S-10"" vs id328385:""Thor"""
21,2023 Upper Deck Marvel Platinum ,2023 Upper Deck Marvel Platinum - Iconic Covers Rainbow,5262,21,"#IC01: id51822:""Fantastic Four"" vs id278083:""Fantastic Four #1"" || #IC02: id51823:""Giant Size X-Men"" vs id278084:""Giant Size X-Men #1"""
22,2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - Splash-ticular 3D,4164,20,"#S1: id26820:""Spider-Woman (2020)"" vs id219468:""Spider-Woman (2020) #1 - Page 3"" || #S10: id26821:""Daredevil (2019)"" vs id219477:""Daredevil (2019) #19 - Page 22"""
23,2021-22 Upper Deck Marvel Annual,2021-22 Upper Deck Marvel Annual - Splash-ticular,4326,20,"#N1S-1: id28114:""Avengers (2018)"" vs id225144:""Avengers (2018) #38 LEN"" || #N1S-10: id28115:""X-Men: The Trial of Magneto (2021)"" vs id225153:""X-Men: The Trial of Magneto (2021) #1 LEN"""
24,2023 Flair Marvel,2023 Flair Marvel - Solar Flair,4678,20,"#SF21: id75548:""Black Bolt"" vs id96216:""Black BoltSP"" || #SF22: id75549:""Black Widow"" vs id96217:""Black WidowSP"""
25,2023 Fleer Ultra Marvel Wolverine,2023 Fleer Ultra Marvel Wolverine - Pop Culture,4814,20,"#PC-21: id43151:""Captain America"" vs id97456:""Captain AmericaSP"" || #PC-22: id43152:""Captain America"" vs id97457:""Captain AmericaSP"""
26,2023 Upper Deck Marvel Platinum ,2023 Upper Deck Marvel Platinum - Iconic Covers,5260,20,"#IC02: id51798:""Giant Size X-Men"" vs id278034:""Giant Size X-Men #1"" || #IC03: id51799:""Avengers"" vs id278035:""Avengers (1963) #57"""
27,2023 Upper Deck Marvel Anime Vol. 2,2023 Upper Deck Marvel Anime Vol. 2 - Hanafuda,5006,19,"#H-32: id46303:""Scarlet Witch"" vs id99911:""Scarlet WitchSP"" || #H-33: id46304:""Winter Soldier"" vs id99912:""Winter SoldierSP"""
