main_set,current_subset,card_number,variant,card_count,card_ids,matched_subset,suggestion
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,24,Hologram,1,77171,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,24,Variant,1,77200,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,24,Printing Plate,1,77237,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,24,Foilboard Hologram,1,77240,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,3,Hologram,1,77194,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,3,Variant,1,77273,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,3,Foilboard Hologram,1,80169,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,3,Printing Plate,1,80171,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,6,Hologram,1,77120,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,6,Variant,1,77225,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,6,Foilboard Hologram,1,80175,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,6,Printing Plate,1,80177,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,7,Hologram,1,77133,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,7,Variant,1,77264,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,7,Foilboard Hologram,1,80173,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,7,Printing Plate,1,80176,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,80,Foilboard Hologram,1,77112,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,80,Hologram,1,77155,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,80,Printing Plate,1,77229,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,80,Variant,1,77268,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,89,Hologram,1,77103,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,89,Variant,1,77123,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
