main_set,current_subset,card_number,variant,card_count,card_ids,matched_subset,match_tier,move_status,suggestion
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,107,Outburst Gold,1,80212,2024 Upper Deck Marvel Studios Series 1 - Outburst Gold,exact,target_occupied,"#107 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst Gold"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,107,Outburst Red,1,80213,2024 Upper Deck Marvel Studios Series 1 - Outburst Red,exact,target_occupied,"#107 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst Red"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,107,Outburst,1,80216,2024 Upper Deck Marvel Studios Series 1 - Outburst,exact,target_occupied,"#107 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,114,Outburst Red,1,80222,2024 Upper Deck Marvel Studios Series 1 - Outburst Red,exact,target_occupied,"#114 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst Red"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,114,Outburst,1,80225,2024 Upper Deck Marvel Studios Series 1 - Outburst,exact,target_occupied,"#114 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,101,Outburst,1,80205,2024 Upper Deck Marvel Studios Series 1 - Outburst,exact,target_occupied,"#101 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,108,Outburst,1,80219,2024 Upper Deck Marvel Studios Series 1 - Outburst,exact,target_occupied,"#108 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,130,Outburst Red,1,77343,2024 Upper Deck Marvel Studios Series 1 - Outburst Red,exact,target_occupied,"#130 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst Red"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,130,Outburst,1,77345,2024 Upper Deck Marvel Studios Series 1 - Outburst,exact,target_occupied,"#130 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,109,Outburst Red,1,77344,2024 Upper Deck Marvel Studios Series 1 - Outburst Red,exact,target_occupied,"#109 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst Red"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,113,Outburst Gold,1,80220,2024 Upper Deck Marvel Studios Series 1 - Outburst Gold,exact,target_occupied,"#113 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst Gold"" is held by a different card — needs manual review"
2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,119,Outburst,1,77358,2024 Upper Deck Marvel Studios Series 1 - Outburst,exact,target_occupied,"#119 in ""2024 Upper Deck Marvel Studios Series 1 - Outburst"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,1,Foil Lt Fx Red,1,78332,2024 Upper Deck Women of Marvel - Foil Lt Fx Red,exact,target_occupied,"#1 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Red"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,1,Foil Lt Fx Purple,1,78347,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#1 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
