rank,main_set,subset,set_id,noise_cards_to_archive,suffix_patterns,sample_orig_noise_pairs
1,2024 Upper Deck Marvel Masterpieces '92 Platinum,2024 Upper Deck Marvel Masterpieces '92 Platinum - Lenticular,6031,100,LEN (Lenticular)×100,"1: orig=56499:""Blob"" → ARCHIVE noise=306416:""BlobLEN"" || 10: orig=56500:""Adam Warlock"" → ARCHIVE noise=306425:""Adam WarlockLEN"""
2,2021 SkyBox Metal Universe Marvel Spider-Man,2021 SkyBox Metal Universe Marvel Spider-Man - Precious Metal Gems Red,4193,99,PR (print run)×99,"1: orig=34493:""Agent Venom"" → ARCHIVE noise=220562:""Agent VenomPR90,"" || 10: orig=34494:""Black Cat"" → ARCHIVE noise=220571:""Black CatPR90,"""
3,2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,4135,95,T# (Tier)×95,"1: orig=26845:""Captain America"" → ARCHIVE noise=217578:""Captain AmericaT4"" || 10: orig=26846:""Cable"" → ARCHIVE noise=217587:""CableT1"""
4,2023-24 Upper Deck Marvel Annual,2023-24 Upper Deck Marvel Annual - Crystal Clear,5508,93,PR (print run)×93,"1: orig=47046:""Abigail Brand"" → ARCHIVE noise=285592:""Abigail BrandPR25"" || 10: orig=47047:""Chasm"" → ARCHIVE noise=285601:""ChasmPR25"""
5,2022 Fleer Ultra Marvel Avengers,2022 Fleer Ultra Marvel Avengers - Marvel Value Stamps Relics,2381,50,MEM (Memorabilia)×50,"VS-1: orig=38258:""Ant-Man"" → ARCHIVE noise=180727:""Ant-ManMEM,"" || VS-10: orig=38259:""Daredevil"" → ARCHIVE noise=180736:""DaredevilMEM,"""
6,2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Black Diamond Cosmic Stone Relics,6852,31,GEM (Gemstone)×31,"BD11: orig=54320:""Christine Palmer"" → ARCHIVE noise=335394:""Christine PalmerGEM,"" || BD12: orig=54321:""Hawkeye"" → ARCHIVE noise=335395:""HawkeyeGEM,"""
7,2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - Black Diamond Stone Relics,6858,31,GEM (Gemstone)×31,"BD11: orig=54418:""Christine Palmer"" → ARCHIVE noise=335694:""Christine PalmerGEM,"" || BD12: orig=54419:""Hawkeye"" → ARCHIVE noise=335695:""HawkeyeGEM,"""
8,2023 Upper Deck Marvel What If…?,2023 Upper Deck Marvel What If…? - The Watcher's Sight Lenticulars,6873,6,LEN (Lenticular)×6,"WS1: orig=55321:""Black Widow"" → ARCHIVE noise=336116:""Black WidowLEN"" || WS10: orig=55322:""Infinity Ultron"" → ARCHIVE noise=336125:""Infinity UltronLEN"""
9,2022-23 Upper Deck Marvel Annual,2022-23 Upper Deck Marvel Annual - Multiple Dimensions Lenticulars,4556,5,LEN (Lenticular)×5,"MD1: orig=39048:""Black Panther"" → ARCHIVE noise=236736:""Black PantherLEN"" || MD2: orig=39059:""Chasm"" → ARCHIVE noise=236737:""ChasmLEN"""
10,2008 Upper Deck Marvel Masterpieces Set 2,2008 Upper Deck Marvel Masterpieces Set 2 - Fantastic Four Movie Memorabilia,2836,1,MEM (Memorabilia)×1,"FF1: orig=22902:""Mr. Fantastic"" → ARCHIVE noise=185238:""Mr. FantasticMEM"""
