legacy_set_id,legacy_name,legacy_year,legacy_main_set_id,legacy_main_set_name,legacy_card_count,suggested_canonical_set_id,suggested_canonical_name,suggested_confidence,reason
2229,"Marvel 2025 Topps Chrome Studios Sketch Card",2025,81,"2025 Topps Marvel Studios Chrome",400,6644,"2025 Topps Chrome Marvel Studios - Sketch Artists",86,token_overlap_86%
2231,"Marvel 2025 Topps Chrome Studios Autograph",2025,81,"2025 Topps Marvel Studios Chrome",399,2547,"2025 Topps Chrome Marvel Studios - Marvel Gods",83,token_overlap_83%
2206,"Marvel 2025 Topps Chrome",2025,80,"Marvel 2025 Topps Chrome",344,6461,"2025 Topps Chrome Marvel",100,token_overlap_100%
1397,"marvel 2020 upper deck annual",2020,58,"Marvel 20-21 Upper Deck Annual ",323,4133,"2020-21 Upper Deck Marvel Annual",83,token_overlap_83%
2113,"marvel 2024 upper deck women of marvel",2024,78,"Marvel 2024 Upper Deck Women of Marvel",320,6254,"2024 Upper Deck Women of Marvel",100,token_overlap_100%
2089,"marvel 2024 upper deck studios",2024,77,"Marvel 2024 Upper Deck Studios ",264,6147,"2024 Upper Deck Marvel Studios Series 1",83,token_overlap_83%
2106,"marvel 2024 upper deck studios ud canvas",2024,77,"Marvel 2024 Upper Deck Studios ",220,6182,"2024 Upper Deck Marvel Studios Series 1 - UD Canvas",88,token_overlap_88%
1813,"marvel 2023 upper deck platinum Teal Wave",2023,69,"Marvel 2023 Upper Deck Platinum",202,5285,"2023 Upper Deck Marvel Platinum - Teal Wave",100,token_overlap_100%
1761,"marvel 2023 upper deck platinum",2023,69,"Marvel 2023 Upper Deck Platinum",201,5225,"2023 Upper Deck Marvel Platinum",100,token_overlap_100%
1088,"2024 skybox metal universe avengers Green Precious Metal Gems",2024,4,"2024 Skybox Metal Universe Avengers ",200,5686,"2024 SkyBox Metal Universe Marvel Avengers - Precious Metal Gems Green",99,subset_term_match_104%
1079,"2024 skybox metal universe avengers Blue Precious Metal Gems",2024,4,"2024 Skybox Metal Universe Avengers ",200,5684,"2024 SkyBox Metal Universe Marvel Avengers - Precious Metal Gems Blue",99,subset_term_match_104%
1080,"2024 skybox metal universe avengers Bronze FX",2024,4,"2024 Skybox Metal Universe Avengers ",200,5662,"2024 SkyBox Metal Universe Marvel Avengers - Bronze FX",93,subset_term_match_93%
1082,"2024 skybox metal universe avengers Copper FX",2024,4,"2024 Skybox Metal Universe Avengers ",200,5666,"2024 SkyBox Metal Universe Marvel Avengers - Copper FX",93,subset_term_match_93%
1085,"2024 skybox metal universe avengers Gold FX",2024,4,"2024 Skybox Metal Universe Avengers ",200,5668,"2024 SkyBox Metal Universe Marvel Avengers - Gold FX",98,subset_term_match_98%
1086,"2024 skybox metal universe avengers Gold Precious Metal Gems",2024,4,"2024 Skybox Metal Universe Avengers ",200,5698,"2024 SkyBox Metal Universe Marvel Avengers - Retro Precious Metal Gems Gold",99,subset_term_match_100%
1087,"2024 skybox metal universe avengers Grandiose",2024,4,"2024 Skybox Metal Universe Avengers ",200,5669,"2024 SkyBox Metal Universe Marvel Avengers - Grandiose",91,subset_term_match_91%
1068,"2024 Skybox Metal Universe Avengers Base",2024,4,"2024 Skybox Metal Universe Avengers ",200,5654,"2024 SkyBox Metal Universe Marvel Avengers",88,subset_term_match_88%
1093,"2024 skybox metal universe avengers Orange FX",2024,4,"2024 Skybox Metal Universe Avengers ",200,5674,"2024 SkyBox Metal Universe Marvel Avengers - Orange FX",93,subset_term_match_93%
1097,"2024 skybox metal universe avengers Pink FX",2024,4,"2024 Skybox Metal Universe Avengers ",200,5678,"2024 SkyBox Metal Universe Marvel Avengers - Pink FX",93,subset_term_match_93%
1102,"2024 skybox metal universe avengers Printing Plate",2024,4,"2024 Skybox Metal Universe Avengers ",200,5689,"2024 SkyBox Metal Universe Marvel Avengers - Printing Plate Black",90,subset_term_match_90%
1105,"2024 skybox metal universe avengers Purple FX",2024,4,"2024 Skybox Metal Universe Avengers ",200,5695,"2024 SkyBox Metal Universe Marvel Avengers - Purple FX",93,subset_term_match_93%
1106,"2024 skybox metal universe avengers Red Precious Metal Gems",2024,4,"2024 Skybox Metal Universe Avengers ",200,5687,"2024 SkyBox Metal Universe Marvel Avengers - Precious Metal Gems Red",99,subset_term_match_104%
1432,"marvel 2021 x men metal universe Green",2021,59,"Marvel 2021 X-Men metal Universe ",200,4205,"2021 SkyBox Metal Universe Marvel X-Men",88,subset_term_match_88%
1762,"marvel 2023 upper deck platinum Amber Crystals",2023,69,"Marvel 2023 Upper Deck Platinum",200,5226,"2023 Upper Deck Marvel Platinum - Amber Crystals",100,token_overlap_100%
1772,"marvel 2023 upper deck platinum Black Rainbow",2023,69,"Marvel 2023 Upper Deck Platinum",200,5227,"2023 Upper Deck Marvel Platinum - Black Rainbow",99,subset_term_match_105%
1773,"marvel 2023 upper deck platinum Blue Rainbow",2023,69,"Marvel 2023 Upper Deck Platinum",200,5228,"2023 Upper Deck Marvel Platinum - Blue Rainbow",100,token_overlap_100%
