legacy_set_id,legacy_name,legacy_year,legacy_main_set_id,legacy_main_set_name,legacy_card_count,suggested_canonical_set_id,suggested_canonical_name,suggested_confidence,reason
1617,"marvel 2023 eternals",2023,,,451,4650,"2023 Flair Marvel",67,token_overlap_67%
1608,"marvel 2022 wandavision",2022,,,435,4417,"2022 Panini Marvel Versus",50,token_overlap_50%
2179,"2025 Topps Chrome - Base",2025,80,"Marvel 2025 Topps Chrome",310,6461,"2025 Topps Chrome Marvel",75,token_overlap_75%
1201,"marvel 1995 fleer overpower",1995,24,"Marvel 1995 Fleer Overpower ",301,4,"1995 Fleer Marvel Masterpieces",75,token_overlap_75%
2120,"marvel 2025 topps finest x men '97",2025,79,"marvel 2025 topps finest x men '97",298,2495,"2025 Topps Chrome Marvel - Air Marvel Shadowbox",50,token_overlap_50%
1150,"marvel 1992 universe",1992,8,"Marvel 1992 Universe ",205,2628,"1992 Impel Marvel Universe",75,token_overlap_75%
1498,"marvel 2022 metal universe spider man",2022,63,"Marvel 2022 Metal Universe Spider Man ",201,4415,"2022 Fleer Ultra Marvel Avengers - Universe Power Supreme",38,token_overlap_38%
1188,"marvel 1994 universe",1994,22,"Marvel 1994 Universe ",200,2670,"1994 Fleer Marvel Universe",75,token_overlap_75%
1501,"marvel 2022 metal universe spider man Gold",2022,63,"Marvel 2022 Metal Universe Spider Man ",200,4398,"2022 Fleer Ultra Marvel Avengers - Medallions Gold",45,subset_term_match_45%
1502,"marvel 2022 metal universe spider man Grandiose",2022,63,"Marvel 2022 Metal Universe Spider Man ",200,4415,"2022 Fleer Ultra Marvel Avengers - Universe Power Supreme",38,token_overlap_38%
1503,"marvel 2022 metal universe spider man Green",2022,63,"Marvel 2022 Metal Universe Spider Man ",200,4392,"2022 Fleer Ultra Marvel Avengers - Green Foil",43,token_overlap_43%
1506,"marvel 2022 metal universe spider man Neon Blue",2022,63,"Marvel 2022 Metal Universe Spider Man ",200,4401,"2022 Fleer Ultra Marvel Avengers - Medallions Sappire Blue",38,token_overlap_38%
1507,"marvel 2022 metal universe spider man Orange",2022,63,"Marvel 2022 Metal Universe Spider Man ",200,4402,"2022 Fleer Ultra Marvel Avengers - Orange Foil",43,token_overlap_43%
1509,"marvel 2022 metal universe spider man Pink",2022,63,"Marvel 2022 Metal Universe Spider Man ",200,4482,"2022 Upper Deck Allure Marvel Studios - Pink",43,token_overlap_43%
1515,"marvel 2022 metal universe spider man Precious Metal Gems Green",2022,63,"Marvel 2022 Metal Universe Spider Man ",200,4392,"2022 Fleer Ultra Marvel Avengers - Green Foil",33,token_overlap_33%
